improvement_id,area,improvement,why_it_matters,affected_routes,severity,source_refs,acceptance_test,proposed_package,dedup_key,status
WP01-IMP-067,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/packages.",Closes a route-specific premium-system gap for /admin/packages.,/admin/packages,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-030,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-006-state-and-evidence-truth,PROPOSED
WP01-IMP-068,Operational scale,"Bound, paginate or virtualize dense content on /admin/packages while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/packages.,/admin/packages,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-030,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-006-operational-scale,PROPOSED
WP01-IMP-069,Route orientation,Add a governed decision header and journey breadcrumb for /admin/regulations.,Closes a route-specific premium-system gap for /admin/regulations.,/admin/regulations,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-010,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-007-route-orientation,PROPOSED
WP01-IMP-070,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/regulations.",Closes a route-specific premium-system gap for /admin/regulations.,/admin/regulations,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-010,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-007-state-and-evidence-truth,PROPOSED
WP01-IMP-071,Operational scale,"Bound, paginate or virtualize dense content on /admin/regulations while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/regulations.,/admin/regulations,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-010,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-007-operational-scale,PROPOSED
WP01-IMP-072,Route orientation,Add a governed decision header and journey breadcrumb for /admin/regulations/:id.,Closes a route-specific premium-system gap for /admin/regulations/:id.,/admin/regulations/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-011,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-008-route-orientation,PROPOSED
WP01-IMP-073,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/regulations/:id.",Closes a route-specific premium-system gap for /admin/regulations/:id.,/admin/regulations/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-011,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-008-state-and-evidence-truth,PROPOSED
WP01-IMP-074,Operational scale,"Bound, paginate or virtualize dense content on /admin/regulations/:id while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/regulations/:id.,/admin/regulations/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-011,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-008-operational-scale,PROPOSED
WP01-IMP-075,Route orientation,Add a governed decision header and journey breadcrumb for /admin/risk.,Closes a route-specific premium-system gap for /admin/risk.,/admin/risk,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-060,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-009-route-orientation,PROPOSED
WP01-IMP-076,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/risk.",Closes a route-specific premium-system gap for /admin/risk.,/admin/risk,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-060,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-009-state-and-evidence-truth,PROPOSED
WP01-IMP-077,Operational scale,"Bound, paginate or virtualize dense content on /admin/risk while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/risk.,/admin/risk,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-060,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-009-operational-scale,PROPOSED
WP01-IMP-078,Route orientation,Add a governed decision header and journey breadcrumb for /admin/violations.,Closes a route-specific premium-system gap for /admin/violations.,/admin/violations,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-040,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-010-route-orientation,PROPOSED
WP01-IMP-079,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/violations.",Closes a route-specific premium-system gap for /admin/violations.,/admin/violations,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-040,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-010-state-and-evidence-truth,PROPOSED
WP01-IMP-080,Operational scale,"Bound, paginate or virtualize dense content on /admin/violations while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/violations.,/admin/violations,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-040,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-010-operational-scale,PROPOSED
WP01-IMP-081,Route orientation,Add a governed decision header and journey breadcrumb for /admin/workflows.,Closes a route-specific premium-system gap for /admin/workflows.,/admin/workflows,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-050,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-011-route-orientation,PROPOSED
WP01-IMP-082,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /admin/workflows.",Closes a route-specific premium-system gap for /admin/workflows.,/admin/workflows,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-050,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-011-state-and-evidence-truth,PROPOSED
WP01-IMP-083,Operational scale,"Bound, paginate or virtualize dense content on /admin/workflows while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /admin/workflows.,/admin/workflows,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-ADM-050,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-011-operational-scale,PROPOSED
WP01-IMP-084,Route orientation,Add a governed decision header and journey breadcrumb for /factories/:id.,Closes a route-specific premium-system gap for /factories/:id.,/factories/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-400,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-012-route-orientation,PROPOSED
WP01-IMP-085,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /factories/:id.",Closes a route-specific premium-system gap for /factories/:id.,/factories/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-400,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-012-state-and-evidence-truth,PROPOSED
WP01-IMP-086,Operational scale,"Bound, paginate or virtualize dense content on /factories/:id while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /factories/:id.,/factories/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-400,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-012-operational-scale,PROPOSED
WP01-IMP-087,Route orientation,Add a governed decision header and journey breadcrumb for /field.,Closes a route-specific premium-system gap for /field.,/field,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-600,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-013-route-orientation,PROPOSED
WP01-IMP-088,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /field.",Closes a route-specific premium-system gap for /field.,/field,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-600,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-013-state-and-evidence-truth,PROPOSED
WP01-IMP-089,Operational scale,"Bound, paginate or virtualize dense content on /field while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /field.,/field,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-600,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-013-operational-scale,PROPOSED
WP01-IMP-090,Route orientation,Add a governed decision header and journey breadcrumb for /field/:visitId.,Closes a route-specific premium-system gap for /field/:visitId.,/field/:visitId,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-610,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-014-route-orientation,PROPOSED
WP01-IMP-091,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /field/:visitId.",Closes a route-specific premium-system gap for /field/:visitId.,/field/:visitId,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-610,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-014-state-and-evidence-truth,PROPOSED
WP01-IMP-092,Operational scale,"Bound, paginate or virtualize dense content on /field/:visitId while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /field/:visitId.,/field/:visitId,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-610,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-014-operational-scale,PROPOSED
WP01-IMP-093,Route orientation,Add a governed decision header and journey breadcrumb for /field/inspection/:id.,Closes a route-specific premium-system gap for /field/inspection/:id.,/field/inspection/:id,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-630,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-015-route-orientation,PROPOSED
WP01-IMP-094,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /field/inspection/:id.",Closes a route-specific premium-system gap for /field/inspection/:id.,/field/inspection/:id,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-630,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-015-state-and-evidence-truth,PROPOSED
WP01-IMP-095,Operational scale,"Bound, paginate or virtualize dense content on /field/inspection/:id while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /field/inspection/:id.,/field/inspection/:id,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-IPAD-630,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-015-operational-scale,PROPOSED
WP01-IMP-096,Route orientation,Add a governed decision header and journey breadcrumb for /operations.,Closes a route-specific premium-system gap for /operations.,/operations,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-500,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-016-route-orientation,PROPOSED
WP01-IMP-097,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /operations.",Closes a route-specific premium-system gap for /operations.,/operations,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-500,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-016-state-and-evidence-truth,PROPOSED
WP01-IMP-098,Operational scale,"Bound, paginate or virtualize dense content on /operations while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /operations.,/operations,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-500,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-016-operational-scale,PROPOSED
WP01-IMP-099,Route orientation,Add a governed decision header and journey breadcrumb for /operations/live.,Closes a route-specific premium-system gap for /operations/live.,/operations/live,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-500,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-017-route-orientation,PROPOSED
WP01-IMP-100,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /operations/live.",Closes a route-specific premium-system gap for /operations/live.,/operations/live,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-500,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-017-state-and-evidence-truth,PROPOSED
WP01-IMP-101,Operational scale,"Bound, paginate or virtualize dense content on /operations/live while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /operations/live.,/operations/live,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-500,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-017-operational-scale,PROPOSED
WP01-IMP-102,Route orientation,Add a governed decision header and journey breadcrumb for /planning.,Closes a route-specific premium-system gap for /planning.,/planning,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-100,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-018-route-orientation,PROPOSED
WP01-IMP-103,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /planning.",Closes a route-specific premium-system gap for /planning.,/planning,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-100,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-018-state-and-evidence-truth,PROPOSED
WP01-IMP-104,Operational scale,"Bound, paginate or virtualize dense content on /planning while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /planning.,/planning,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-100,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-018-operational-scale,PROPOSED
WP01-IMP-105,Route orientation,Add a governed decision header and journey breadcrumb for /planning/bulk.,Closes a route-specific premium-system gap for /planning/bulk.,/planning/bulk,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-110,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-019-route-orientation,PROPOSED
WP01-IMP-106,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /planning/bulk.",Closes a route-specific premium-system gap for /planning/bulk.,/planning/bulk,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-110,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-019-state-and-evidence-truth,PROPOSED
WP01-IMP-107,Operational scale,"Bound, paginate or virtualize dense content on /planning/bulk while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /planning/bulk.,/planning/bulk,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-110,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-019-operational-scale,PROPOSED
WP01-IMP-108,Route orientation,Add a governed decision header and journey breadcrumb for /planning/bulk/review.,Closes a route-specific premium-system gap for /planning/bulk/review.,/planning/bulk/review,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-140,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-020-route-orientation,PROPOSED
WP01-IMP-109,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /planning/bulk/review.",Closes a route-specific premium-system gap for /planning/bulk/review.,/planning/bulk/review,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-140,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-020-state-and-evidence-truth,PROPOSED
WP01-IMP-110,Operational scale,"Bound, paginate or virtualize dense content on /planning/bulk/review while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /planning/bulk/review.,/planning/bulk/review,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-140,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-020-operational-scale,PROPOSED
WP01-IMP-111,Route orientation,Add a governed decision header and journey breadcrumb for /planning/immediate.,Closes a route-specific premium-system gap for /planning/immediate.,/planning/immediate,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-130,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-021-route-orientation,PROPOSED
WP01-IMP-112,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /planning/immediate.",Closes a route-specific premium-system gap for /planning/immediate.,/planning/immediate,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-130,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-021-state-and-evidence-truth,PROPOSED
WP01-IMP-113,Operational scale,"Bound, paginate or virtualize dense content on /planning/immediate while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /planning/immediate.,/planning/immediate,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-130,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-021-operational-scale,PROPOSED
WP01-IMP-114,Route orientation,Add a governed decision header and journey breadcrumb for /planning/plans/:id.,Closes a route-specific premium-system gap for /planning/plans/:id.,/planning/plans/:id,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-150,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-022-route-orientation,PROPOSED
WP01-IMP-115,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /planning/plans/:id.",Closes a route-specific premium-system gap for /planning/plans/:id.,/planning/plans/:id,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-150,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-022-state-and-evidence-truth,PROPOSED
WP01-IMP-116,Operational scale,"Bound, paginate or virtualize dense content on /planning/plans/:id while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /planning/plans/:id.,/planning/plans/:id,P1,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-150,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-022-operational-scale,PROPOSED
WP01-IMP-117,Route orientation,Add a governed decision header and journey breadcrumb for /planning/single.,Closes a route-specific premium-system gap for /planning/single.,/planning/single,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-120,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-023-route-orientation,PROPOSED
WP01-IMP-118,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /planning/single.",Closes a route-specific premium-system gap for /planning/single.,/planning/single,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-120,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-023-state-and-evidence-truth,PROPOSED
WP01-IMP-119,Operational scale,"Bound, paginate or virtualize dense content on /planning/single while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /planning/single.,/planning/single,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-120,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-023-operational-scale,PROPOSED
WP01-IMP-120,Route orientation,Add a governed decision header and journey breadcrumb for /reviews.,Closes a route-specific premium-system gap for /reviews.,/reviews,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-300,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-024-route-orientation,PROPOSED
WP01-IMP-121,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /reviews.",Closes a route-specific premium-system gap for /reviews.,/reviews,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-300,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-024-state-and-evidence-truth,PROPOSED
WP01-IMP-122,Operational scale,"Bound, paginate or virtualize dense content on /reviews while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /reviews.,/reviews,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-300,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-024-operational-scale,PROPOSED
WP01-IMP-123,Route orientation,Add a governed decision header and journey breadcrumb for /reviews/:id.,Closes a route-specific premium-system gap for /reviews/:id.,/reviews/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-310,"Users can identify persona, scope, state and one safe next action within five seconds.",CD-PREM-01,rte-025-route-orientation,PROPOSED
WP01-IMP-124,State and evidence truth,"Expose lifecycle, provider, freshness and evidence truth on /reviews/:id.",Closes a route-specific premium-system gap for /reviews/:id.,/reviews/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-310,"No projection, fixture, unavailable provider or stale value can be mistaken for live operational truth.",CD-PREM-06,rte-025-state-and-evidence-truth,PROPOSED
WP01-IMP-125,Operational scale,"Bound, paginate or virtualize dense content on /reviews/:id while preserving keyboard and RTL behavior.",Closes a route-specific premium-system gap for /reviews/:id.,/reviews/:id,P2,/Users/vikramindla/InspectionOps/11_OPERATIONALIZATION/03_PREMIUM_UIUX_PLAN/20260719/FULL_59_ROUTE_SCREENSHOT_SCOPE.csv;SCR-WEB-310,The primary task remains completable at representative data scale without excessive document length.,CD-PREM-01,rte-025-operational-scale,PROPOSED
