source_line_id,source_type,style_or_shape,verbatim_text
PLN-SRC-0257,paragraph,Normal,Return Reason must be selected from an active lookup.
PLN-SRC-0258,paragraph,Normal,Examples:
PLN-SRC-0259,paragraph,Normal,Incorrect factory.
PLN-SRC-0260,paragraph,Normal,Incorrect Inspector assignment.
PLN-SRC-0261,paragraph,Normal,Inspector unavailable.
PLN-SRC-0262,paragraph,Normal,Visit Window not suitable.
PLN-SRC-0263,paragraph,Normal,Incorrect Visit Type.
PLN-SRC-0264,paragraph,Normal,Incorrect Visit Mode.
PLN-SRC-0265,paragraph,Normal,Missing information.
PLN-SRC-0266,paragraph,Normal,Missing or incorrect location.
PLN-SRC-0267,paragraph,Normal,Report Package requires Planner review.
PLN-SRC-0268,paragraph,Normal,Duplicate visit.
PLN-SRC-0269,paragraph,Normal,Factory closed or unavailable.
PLN-SRC-0270,paragraph,Normal,Other.
PLN-SRC-0271,paragraph,Normal,Return Behavior
PLN-SRC-0272,paragraph,Normal,When a visit is returned:
PLN-SRC-0273,paragraph,Normal,Planning status becomes Returned.
PLN-SRC-0274,paragraph,Normal,The visit is removed from the Inspector’s active schedule where applicable.
PLN-SRC-0275,paragraph,Normal,The visit appears in the Planner’s Returned tab.
PLN-SRC-0276,paragraph,Normal,The Planner receives a notification.
PLN-SRC-0277,paragraph,Normal,Return reason and comments are displayed prominently.
PLN-SRC-0278,paragraph,Normal,The Planner may edit the permitted fields.
PLN-SRC-0279,paragraph,Normal,The Planner may reassign the Inspector.
PLN-SRC-0280,paragraph,Normal,The Planner may update the Visit Window.
PLN-SRC-0281,paragraph,Normal,The Planner may update or add Report Packages.
PLN-SRC-0282,paragraph,Normal,The Planner may cancel the visit.
PLN-SRC-0283,paragraph,Normal,The Planner may republish after validation.
PLN-SRC-0284,paragraph,Normal,Return and resubmission history must be retained.
PLN-SRC-0285,paragraph,Normal,Cancellation Eligibility
PLN-SRC-0286,paragraph,Normal,An authorized user may cancel a visit before the configured cancellation cut-off.
PLN-SRC-0287,paragraph,Normal,"Generally, cancellation is allowed while the visit is:"
PLN-SRC-0288,paragraph,Normal,Draft
PLN-SRC-0289,paragraph,Normal,Published and New.
PLN-SRC-0290,paragraph,Normal,when execution has not started and permission allows.
PLN-SRC-0291,paragraph,Normal,Cancellation must be blocked after:
PLN-SRC-0292,paragraph,Normal,Start Journey
PLN-SRC-0293,paragraph,Normal,Arrival.
PLN-SRC-0294,paragraph,Normal,Inspection execution start.
PLN-SRC-0295,paragraph,Normal,Submission.
PLN-SRC-0296,paragraph,Normal,Cancellation Fields
PLN-SRC-0297-R01,table_row,3 columns,Field || Required || Expected Value
PLN-SRC-0297-R02,table_row,3 columns,Cancellation Reason || Yes || Active lookup value
PLN-SRC-0297-R03,table_row,3 columns,Cancellation Comments || Conditional || Mandatory for Other or configured reasons
PLN-SRC-0297-R04,table_row,3 columns,Cancelled By || System || User
PLN-SRC-0297-R05,table_row,3 columns,Cancelled Date || System || Timestamp
PLN-SRC-0297-R06,table_row,3 columns,Previous Inspector || System || Assigned Inspector at cancellation
PLN-SRC-0297-R07,table_row,3 columns,Previous Visit Window || System || Window at cancellation
PLN-SRC-0298,paragraph,Normal,Cancellation Behavior
PLN-SRC-0299,paragraph,Normal,Status becomes Cancelled.
PLN-SRC-0300,paragraph,Normal,Visit is removed from the Inspector’s active pool or schedule.
PLN-SRC-0301,paragraph,Normal,Inspector is notified.
PLN-SRC-0302,paragraph,Normal,Factory is notified only if factory notification had already been sent and cancellation communication is configured.
PLN-SRC-0303,paragraph,Normal,Cancelled visits remain visible in history.
PLN-SRC-0304,paragraph,Normal,Cancelled visits cannot be edited or republished.
PLN-SRC-0305,paragraph,Normal,A new visit may be created using Duplicate.
PLN-SRC-0306,paragraph,Normal,Expiry
PLN-SRC-0307,paragraph,Normal,Expiry Definition
PLN-SRC-0308,paragraph,Normal,A visit becomes Expired when the Visit Window End date passes and the visit has not progressed
PLN-SRC-0309,paragraph,Normal,Possible expiry criteria may include:
PLN-SRC-0310,paragraph,Normal,Inspector did not acknowledge.
PLN-SRC-0311,paragraph,Normal,Inspector did not define an Execution Date.
PLN-SRC-0312,paragraph,Normal,Execution did not start.
PLN-SRC-0313,paragraph,Normal,Visit was not completed.
PLN-SRC-0314,paragraph,Normal,Expiry Behavior
PLN-SRC-0315,paragraph,Normal,Status becomes Expired through a scheduled system process.
PLN-SRC-0316,paragraph,Normal,Inspector and Planner are notified.
PLN-SRC-0317,paragraph,Normal,Expiry reason is stored.
PLN-SRC-0318,paragraph,Normal,Expired visit is read-only.
PLN-SRC-0319,paragraph,Normal,Expired visit may be duplicated into a new Draft.
PLN-SRC-0320,paragraph,Normal,Expiry does not extend the Visit Window automatically.
PLN-SRC-0321,paragraph,Normal,An authorized user may extend the Visit Window before expiry.
PLN-SRC-0322,paragraph,Normal,Visit Details View
PLN-SRC-0323,paragraph,Normal,The Visit Details page must provide a complete read-only representation of the visit.
PLN-SRC-0324,paragraph,Normal,Display:
PLN-SRC-0325,paragraph,Normal,Visit Reference.
PLN-SRC-0326,paragraph,Normal,Status.
PLN-SRC-0327,paragraph,Normal,Operational State.
PLN-SRC-0328,paragraph,Normal,Planning Type.
PLN-SRC-0329,paragraph,Normal,Visit Type.
PLN-SRC-0330,paragraph,Normal,Priority.
PLN-SRC-0331,paragraph,Normal,Assigned Inspector.
PLN-SRC-0332,paragraph,Normal,Visit Window.
PLN-SRC-0333,paragraph,Normal,"Execution Date, once selected by the Inspector."
PLN-SRC-0334,paragraph,Normal,"Bulk Plan Reference, when applicable."
PLN-SRC-0335,paragraph,Normal,Details Sections
PLN-SRC-0336-R01,table_row,2 columns,Section || Content
PLN-SRC-0336-R02,table_row,2 columns,"Factory Information || CR, license, plant, factory name, stage, status, contact information"
PLN-SRC-0336-R03,table_row,2 columns,"Location || Region, city, coordinates, map, source, change history"
PLN-SRC-0336-R04,table_row,2 columns,"Visit Information || Visit Type, Visit Mode, priority, window, notes"
PLN-SRC-0336-R05,table_row,2 columns,"Inspector Assignment || Assigned Inspector, recommendation details, override reason"
PLN-SRC-0336-R06,table_row,2 columns,"Report Packages || Selected packages, selection source, selected by"
PLN-SRC-0336-R07,table_row,2 columns,Attachments || Files and metadata
PLN-SRC-0336-R08,table_row,2 columns,"Return Information || Return reasons, comments, return history"
PLN-SRC-0336-R09,table_row,2 columns,Cancellation Information || Reason and comments
PLN-SRC-0336-R10,table_row,2 columns,"Execution Information || Acknowledgment, Execution Date, journey and inspection timestamps"
PLN-SRC-0336-R11,table_row,2 columns,Audit Log || Full history
PLN-SRC-0336-R12,table_row,2 columns,"Related Visits || Duplicates, previous visits, active visits"
PLN-SRC-0336-R13,table_row,2 columns,Bulk Information || Bulk Plan Reference and related visit count
PLN-SRC-0337,paragraph,Normal,Main Business Rules
PLN-SRC-0338,paragraph,Normal, Only authorized users may create Planning visits.
PLN-SRC-0339,paragraph,Normal, Planning Type must be either Single or Bulk.
PLN-SRC-0340,paragraph,Normal," Single Planning supports search by CR Number, License Number, or Plant Number."
PLN-SRC-0341,paragraph,Normal, A CR with multiple licenses requires selection of the target License or Plant.
PLN-SRC-0342,paragraph,Normal, Manual factory entry is allowed only when the factory is not found and the user has permission.
PLN-SRC-0343,paragraph,Normal, Bulk Planning only uses registered factory records.
PLN-SRC-0344,paragraph,Normal, Bulk filters must support AND and OR logic.
PLN-SRC-0345,paragraph,Normal, Bulk results must create separate visits per selected factory.
PLN-SRC-0346,paragraph,Normal, One invalid Bulk factory must not block valid factories.
PLN-SRC-0347,paragraph,Normal, Location source must always be captured.
PLN-SRC-0348,paragraph,Normal, License coordinates must not be overwritten in Senaei by Planning.
PLN-SRC-0349,paragraph,Normal, The Planner defines the Visit Window.
PLN-SRC-0350,paragraph,Normal, The Inspector defines the Execution Date.
PLN-SRC-0351,paragraph,Normal, Execution Date must fall within the Visit Window.
PLN-SRC-0352,paragraph,Normal, An Inspector must be assigned before publishing.
PLN-SRC-0353,paragraph,Normal, Inspector recommendation must prioritize same Region and lower assigned workload.
PLN-SRC-0354,paragraph,Normal, Draft visits do not appear to Inspectors.
PLN-SRC-0355,paragraph,Normal, Published visits appear in the Inspector’s visit pool.
PLN-SRC-0356,paragraph,Normal, Returned visits must display return reason and comments.
PLN-SRC-0357,paragraph,Normal, Returned visits may be corrected and republished.
PLN-SRC-0358,paragraph,Normal, Cancellation is blocked after the configured execution cut-off.
PLN-SRC-0359,paragraph,Normal, Expired visits are read-only and may be duplicated.
PLN-SRC-0360,paragraph,Normal," Published, Cancelled, and Expired visits must not be physically deleted."
PLN-SRC-0361,paragraph,Normal, All updates must be audited.
PLN-SRC-0362,paragraph,Normal,Acceptance Criteria
PLN-SRC-0363,paragraph,Normal,31.1 Planning List
PLN-SRC-0364,paragraph,Normal,"The user can view Draft, Published, Returned, Cancelled, and Expired visits."
PLN-SRC-0365,paragraph,Normal,The user only sees records within their authorized scope.
PLN-SRC-0366,paragraph,Normal,Search and filters return correct records.
PLN-SRC-0367,paragraph,Normal,Available actions change based on status and permission.
PLN-SRC-0368,paragraph,Normal,Each Bulk-created visit appears as an individual record.
PLN-SRC-0369,paragraph,Normal,31.2 Single Planning
PLN-SRC-0370,paragraph,Normal,"The user can search by CR, License, or Plant Number."
PLN-SRC-0371,paragraph,Normal,The system retrieves factory data from Senaei.
PLN-SRC-0372,paragraph,Normal,Multiple licenses under one CR require selection.
PLN-SRC-0373,paragraph,Normal,The user can manually enter an unregistered factory when authorized.
PLN-SRC-0374,paragraph,Normal,Manual information is clearly marked as manually entered.
PLN-SRC-0375,paragraph,Normal,The system records the location source.
PLN-SRC-0376,paragraph,Normal,31.3 Bulk Planning
PLN-SRC-0377,paragraph,Normal,"The user can filter by Region, City, Sector, Stage, Activity, Product, Land Provider, and Employee Count."
PLN-SRC-0378,paragraph,Normal,The user can combine filters using AND or OR.
PLN-SRC-0379,paragraph,Normal,The system returns matching factories.
PLN-SRC-0380,paragraph,Normal,The user can select and unselect factories.
PLN-SRC-0381,paragraph,Normal,The system validates factories separately.
PLN-SRC-0382,paragraph,Normal,Valid visits can proceed when some factories fail.
PLN-SRC-0383,paragraph,Normal,Each created visit receives a unique Visit Reference.
PLN-SRC-0384,paragraph,Normal,31.4 Map and Location
PLN-SRC-0385,paragraph,Normal,Registered coordinates are displayed on the map.
PLN-SRC-0386,paragraph,Normal,Missing coordinates can be added by an authorized Planner.
PLN-SRC-0387,paragraph,Normal,Corrected coordinates preserve the original value.
PLN-SRC-0388,paragraph,Normal,"Location Source is stored as License, Planner, Inspector, Integration, or configured source."
PLN-SRC-0389,paragraph,Normal,Planning changes do not directly update Senaei master data.
PLN-SRC-0390,paragraph,Normal,31.5 Assignment
PLN-SRC-0391,paragraph,Normal,The system recommends eligible Inspectors.
PLN-SRC-0392,paragraph,Normal,Recommendation considers same Region and lower workload.
PLN-SRC-0393,paragraph,Normal,The Planner can override the recommendation when permitted.
PLN-SRC-0394,paragraph,Normal,An Inspector is mandatory before publishing.
PLN-SRC-0395,paragraph,Normal,31.6 Visit Window
PLN-SRC-0396,paragraph,Normal,The Planner can define Visit Window Start and End.
PLN-SRC-0397,paragraph,Normal,The system validates the date range.
PLN-SRC-0398,paragraph,Normal,The Inspector later defines the Execution Date.
PLN-SRC-0399,paragraph,Normal,Execution Date outside the Visit Window is blocked.
PLN-SRC-0400,paragraph,Normal,Updating a published window is audited and notifies the Inspector.
PLN-SRC-0401,paragraph,Normal,31.8 Status and Workflow
PLN-SRC-0402,paragraph,Normal,Draft may be edited and deleted.
PLN-SRC-0403,paragraph,Normal,Published appears in the Inspector’s pool.
PLN-SRC-0404,paragraph,Normal,Returned appears in the Planner’s Returned list.
PLN-SRC-0405,paragraph,Normal,Returned visits can be corrected and republished.
PLN-SRC-0406,paragraph,Normal,Cancelled visits are read-only.
PLN-SRC-0407,paragraph,Normal,Expired visits are read-only.
PLN-SRC-0408,paragraph,Normal,All lifecycle changes are audited.
PLN-SRC-0409,paragraph,Normal,31.9 Notifications and Audit
PLN-SRC-0410,paragraph,Normal,The Inspector is notified when a visit is published.
PLN-SRC-0411,paragraph,Normal,The Planner is notified when a visit is returned.
PLN-SRC-0412,paragraph,Normal,"Reassignment, cancellation, expiry, and window changes generate notifications."
PLN-SRC-0413,paragraph,Normal,Audit Log shows who changed what and when.
PLN-SRC-0414,paragraph,Normal,Historical values remain available after updates.
PLN-SRC-0415,paragraph,Normal,Dependencies
PLN-SRC-0416-R01,table_row,2 columns,Dependency || Usage
PLN-SRC-0416-R02,table_row,2 columns,"Senaei Integration || Retrieves CR, License, Plant, factory, contact, product, activity, stage, and location data."
PLN-SRC-0416-R03,table_row,2 columns,Factory 360 || Displays complete factory context and provides a Create Visit entry point.
PLN-SRC-0416-R04,table_row,2 columns,User and Role Management || Validates Planner and Inspector permissions.
PLN-SRC-0416-R05,table_row,2 columns,"Inspector Profile || Retrieves region, workload, and availability."
PLN-SRC-0416-R06,table_row,2 columns,Maps || Displays and captures factory coordinates.
PLN-SRC-0416-R07,table_row,2 columns,"Lookup Management || Provides Visit Type, Visit Mode, priority, return reason, cancellation reason, region, city, and other values."
PLN-SRC-0416-R08,table_row,2 columns,Compliance Configuration || Provides eligible Report Packages and inspection content.
PLN-SRC-0416-R09,table_row,2 columns,Notification Engine || Sends Planning notifications.
PLN-SRC-0416-R10,table_row,2 columns,Audit Service || Stores immutable action history.
PLN-SRC-0416-R11,table_row,2 columns,Risk Engine || Provides factory risk data for Bulk Planning and recommendation context.
PLN-SRC-0416-R12,table_row,2 columns,Visit Management || Stores visit records and lifecycle status.
PLN-SRC-0416-R13,table_row,2 columns,"Execution Module || Receives published visits and manages acknowledgment, preparation, and inspection."
PLN-SRC-0416-R14,table_row,2 columns,Scheduler || Processes expiry and reminder notifications.
PLN-SRC-0416-R15,table_row,2 columns,Document Management || Stores planning attachments.
PLN-SRC-0417-R01,table_row,3 columns,Visit Status || Operational State || Meaning
PLN-SRC-0417-R02,table_row,3 columns,Published || New || Visit is available in the Inspector’s pool and no action has been completed yet.
PLN-SRC-0417-R03,table_row,3 columns,"Published || Ready for Execution || Inspector accepted the visit, selected the Execution Date, selected the required Inspection Report if needed, and completed all preparation requirements."
PLN-SRC-0417-R04,table_row,3 columns,Published || On the Way || Inspector started the journey to the factory.
PLN-SRC-0417-R05,table_row,3 columns,Published || Arrived || Inspector confirmed arrival at the factory.
PLN-SRC-0417-R06,table_row,3 columns,Published || Executing Inspection || Inspector started the inspection.
PLN-SRC-0417-R07,table_row,3 columns,Published || Submitted || Inspector submitted the inspection.
PLN-SRC-0418,paragraph,Normal,Draft
PLN-SRC-0419,paragraph,Normal,│
PLN-SRC-0420,paragraph,Normal,├── Save Changes → Draft
PLN-SRC-0421,paragraph,Normal,│
PLN-SRC-0422,paragraph,Normal,├── Delete Draft
PLN-SRC-0423,paragraph,Normal,│
PLN-SRC-0424,paragraph,Normal,└── Publish
PLN-SRC-0425,paragraph,Normal,↓
PLN-SRC-0426,paragraph,Normal,Published
PLN-SRC-0427,paragraph,Normal,│
PLN-SRC-0428,paragraph,Normal,├── Inspector accepts and prepares the visit
PLN-SRC-0429,paragraph,Normal,│ Status remains Published
PLN-SRC-0430,paragraph,Normal,│
PLN-SRC-0431,paragraph,Normal,├── Return to Planner
PLN-SRC-0432,paragraph,Normal,│ ↓
PLN-SRC-0433,paragraph,Normal,│ Returned
PLN-SRC-0434,paragraph,Normal,│ │
PLN-SRC-0435,paragraph,Normal,│ ├── Correct and Republish → Published
PLN-SRC-0436,paragraph,Normal,│ └── Cancel → Cancelled
PLN-SRC-0437,paragraph,Normal,│
PLN-SRC-0438,paragraph,Normal,├── Cancel before execution → Cancelled
PLN-SRC-0439,paragraph,Normal,│
PLN-SRC-0440,paragraph,Normal,└── Visit Window expires → Expired
PLN-SRC-0441-R01,table_row,4 columns,Field || Required || Expected Value || Description
PLN-SRC-0441-R02,table_row,4 columns,"Inspection Package / report package || Optional during Planning || One or more active Inspection Packages || The Planner may assign one or more packages. If none are assigned, the Inspector must select the required package(s) during Preparation."
PLN-SRC-0442,paragraph,Normal,Each package consists of:
PLN-SRC-0443-R01,table_row,2 columns,Component || Multiplicity
PLN-SRC-0443-R02,table_row,2 columns,Inspection Form || One or many
PLN-SRC-0443-R03,table_row,2 columns,"Action Form || Zero, one, or many"
PLN-SRC-0444,paragraph,Normal,Food Manufacturing Package
PLN-SRC-0445,paragraph,Normal,Contains:
PLN-SRC-0446,paragraph,Normal,Inspection Forms
PLN-SRC-0447,paragraph,Normal,General Factory Inspection
PLN-SRC-0448,paragraph,Normal,Food Safety Inspection
PLN-SRC-0449,paragraph,Normal,Storage Inspection
PLN-SRC-0450,paragraph,Normal,Action Forms
PLN-SRC-0451,paragraph,Normal,Product Hold Form
PLN-SRC-0452,paragraph,Normal,Factory Closure Form
PLN-SRC-0453,paragraph,Normal,"When the Inspector opens the visit, they automatically receive everything included in that package."
