requirement_id,source_id,source_sha256,source_sheet,source_coordinate,module,capability,purpose,user_flow,user_actions,system_actions,ai_actions,inputs,outputs,business_rules,personas,dependencies,source_acceptance_criteria,original_source_text,disposition,disposition_alias,target_module_id,implementation_package,target_routes,target_designs,acceptance_ids,decision_or_blocker_ids,shared_backend_dependencies,evidence_ids,status
CR-076,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!25,Visit Planning,View Visit Details,Display complete planning information for a selected visit.,Visit → Details,View visit information.,"Display factory profile, assignment, planning information, location, timeline, attachments and audit.",Summarize visit history and planning risks.,Visit ID,Visit Details,None,Information remains read-only until Edit is selected.,Planner,Visit Repository,"module=Visit Planning | capability=View Visit Details | purpose=Display complete planning information for a selected visit. | user_flow=Visit → Details | user_actions=View visit information. | system_actions=Display factory profile, assignment, planning information, location, timeline, attachments and audit. | ai_actions=Summarize visit history and planning risks. | inputs=Visit ID | outputs=Visit Details | business_rules=None | personas=Information remains read-only until Edit is selected. | dependencies=Planner | source_acceptance_criteria=Visit Repository",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0076,,,WA-EV-0076,BASELINED_NOT_IMPLEMENTED
CR-077,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!26,Visit Planning,Edit Visit,Modify a planned visit before execution begins.,Visit Details → Edit,Update editable fields.,"Validate, save changes and audit updates.",Recommend better planning options.,"Visit Type, Visit Window, Inspector, Notes, Location",Updated Visit,Status unchanged,Editing is prohibited once inspection has started.,Planner,"Validation Engine, Assignment Engine","module=Visit Planning | capability=Edit Visit | purpose=Modify a planned visit before execution begins. | user_flow=Visit Details → Edit | user_actions=Update editable fields. | system_actions=Validate, save changes and audit updates. | ai_actions=Recommend better planning options. | inputs=Visit Type, Visit Window, Inspector, Notes, Location | outputs=Updated Visit | business_rules=Status unchanged | personas=Editing is prohibited once inspection has started. | dependencies=Planner | source_acceptance_criteria=Validation Engine, Assignment Engine",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0077,,,WA-EV-0077,BASELINED_NOT_IMPLEMENTED
CR-078,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!27,Visit Planning,Reassign Inspector,Assign the visit to another inspector.,Visit → Reassign,Select another inspector.,"Validate eligibility, workload and update assignment. Notify affected inspector(s).","Recommend best inspector based on workload, specialization and distance.",Inspector,Updated Assignment,Status unchanged,Reassignment is only allowed before inspection starts.,Planner,"Assignment Engine, Notification Service","module=Visit Planning | capability=Reassign Inspector | purpose=Assign the visit to another inspector. | user_flow=Visit → Reassign | user_actions=Select another inspector. | system_actions=Validate eligibility, workload and update assignment. Notify affected inspector(s). | ai_actions=Recommend best inspector based on workload, specialization and distance. | inputs=Inspector | outputs=Updated Assignment | business_rules=Status unchanged | personas=Reassignment is only allowed before inspection starts. | dependencies=Planner | source_acceptance_criteria=Assignment Engine, Notification Service",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0078,,,WA-EV-0078,BASELINED_NOT_IMPLEMENTED
CR-079,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!28,Visit Planning,Reschedule Visit,Modify the planned visit window.,Visit → Reschedule,Select new visit window.,Validate planning conflicts and update schedule.,Recommend the best available time slot.,Visit Window,Updated Visit,Status unchanged,Rescheduling is prohibited after inspection starts.,Planner,Calendar Engine,module=Visit Planning | capability=Reschedule Visit | purpose=Modify the planned visit window. | user_flow=Visit → Reschedule | user_actions=Select new visit window. | system_actions=Validate planning conflicts and update schedule. | ai_actions=Recommend the best available time slot. | inputs=Visit Window | outputs=Updated Visit | business_rules=Status unchanged | personas=Rescheduling is prohibited after inspection starts. | dependencies=Planner | source_acceptance_criteria=Calendar Engine,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0079,,,WA-EV-0079,BASELINED_NOT_IMPLEMENTED
CR-080,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!29,Visit Planning,Cancel Visit,Cancel a planned visit.,Visit → Cancel,Enter cancellation reason and confirm.,"Cancel visit, notify inspector and audit the action.",N/A,Cancellation Reason,Cancelled Visit,Published/Returned → Cancelled,Cancelled is a final status.,Planner,"Notification Service, Audit Service","module=Visit Planning | capability=Cancel Visit | purpose=Cancel a planned visit. | user_flow=Visit → Cancel | user_actions=Enter cancellation reason and confirm. | system_actions=Cancel visit, notify inspector and audit the action. | ai_actions=N/A | inputs=Cancellation Reason | outputs=Cancelled Visit | business_rules=Published/Returned → Cancelled | personas=Cancelled is a final status. | dependencies=Planner | source_acceptance_criteria=Notification Service, Audit Service",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0080,,,WA-EV-0080,BASELINED_NOT_IMPLEMENTED
CR-081,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!30,Visit Planning,Process Returned Visit,Review and manage visits returned by inspectors.,Returned → Open Visit,"Review return reason, update planning information.",Display return reason and allow corrections.,Recommend corrective actions before republishing.,Returned Visit,Updated Visit,Returned remains Returned until republished.,Returned visits are treated as individual visits even if created from Bulk Planning.,Planner,Visit Repository,"module=Visit Planning | capability=Process Returned Visit | purpose=Review and manage visits returned by inspectors. | user_flow=Returned → Open Visit | user_actions=Review return reason, update planning information. | system_actions=Display return reason and allow corrections. | ai_actions=Recommend corrective actions before republishing. | inputs=Returned Visit | outputs=Updated Visit | business_rules=Returned remains Returned until republished. | personas=Returned visits are treated as individual visits even if created from Bulk Planning. | dependencies=Planner | source_acceptance_criteria=Visit Repository",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0081,,,WA-EV-0081,BASELINED_NOT_IMPLEMENTED
CR-082,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!31,Visit Planning,Republish Visit,Send a corrected visit back to the assigned inspector.,Returned Visit → Republish,Confirm republishing.,"Validate updates, notify inspector and audit changes.",Summarize modifications applied since return.,Updated Visit,Published Visit,Returned → Published,Visit ID and Visit Plan ID remain unchanged.,Planner,Notification Service,"module=Visit Planning | capability=Republish Visit | purpose=Send a corrected visit back to the assigned inspector. | user_flow=Returned Visit → Republish | user_actions=Confirm republishing. | system_actions=Validate updates, notify inspector and audit changes. | ai_actions=Summarize modifications applied since return. | inputs=Updated Visit | outputs=Published Visit | business_rules=Returned → Published | personas=Visit ID and Visit Plan ID remain unchanged. | dependencies=Planner | source_acceptance_criteria=Notification Service",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0082,,,WA-EV-0082,BASELINED_NOT_IMPLEMENTED
CR-083,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!32,Visit Planning,Bulk Edit Visits,Modify multiple child visits simultaneously.,Select Visits → Bulk Edit,Update shared information.,Apply changes across selected visits.,Highlight affected inspectors and workload impact.,"Visit Window, Visit Type, Inspector, Notes, Location",Updated Visits,Status unchanged,Bulk Edit is only allowed for child visits belonging to the same Visit Plan.,Planner,Visit Plan Repository,"module=Visit Planning | capability=Bulk Edit Visits | purpose=Modify multiple child visits simultaneously. | user_flow=Select Visits → Bulk Edit | user_actions=Update shared information. | system_actions=Apply changes across selected visits. | ai_actions=Highlight affected inspectors and workload impact. | inputs=Visit Window, Visit Type, Inspector, Notes, Location | outputs=Updated Visits | business_rules=Status unchanged | personas=Bulk Edit is only allowed for child visits belonging to the same Visit Plan. | dependencies=Planner | source_acceptance_criteria=Visit Plan Repository",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0083,,,WA-EV-0083,BASELINED_NOT_IMPLEMENTED
CR-084,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!33,Visit Planning,Bulk Reassign,Reassign multiple visits simultaneously.,Bulk Action,Select inspector(s).,Update assignments and notify inspectors.,Recommend optimized distribution.,Inspector,Updated Visits,Status unchanged,Only visits not yet started may be reassigned.,Planner,Assignment Engine,module=Visit Planning | capability=Bulk Reassign | purpose=Reassign multiple visits simultaneously. | user_flow=Bulk Action | user_actions=Select inspector(s). | system_actions=Update assignments and notify inspectors. | ai_actions=Recommend optimized distribution. | inputs=Inspector | outputs=Updated Visits | business_rules=Status unchanged | personas=Only visits not yet started may be reassigned. | dependencies=Planner | source_acceptance_criteria=Assignment Engine,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0084,,,WA-EV-0084,BASELINED_NOT_IMPLEMENTED
CR-085,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!34,Visit Planning,Bulk Reschedule,Update the visit window for multiple visits.,Bulk Action,Select new visit window.,Validate schedule conflicts and update visits.,Recommend balanced scheduling.,Visit Window,Updated Visits,Status unchanged,Only not-started visits may be rescheduled.,Planner,Calendar Engine,module=Visit Planning | capability=Bulk Reschedule | purpose=Update the visit window for multiple visits. | user_flow=Bulk Action | user_actions=Select new visit window. | system_actions=Validate schedule conflicts and update visits. | ai_actions=Recommend balanced scheduling. | inputs=Visit Window | outputs=Updated Visits | business_rules=Status unchanged | personas=Only not-started visits may be rescheduled. | dependencies=Planner | source_acceptance_criteria=Calendar Engine,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0085,,,WA-EV-0085,BASELINED_NOT_IMPLEMENTED
CR-086,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!35,Visit Planning,Bulk Cancel,Cancel multiple planned visits.,Bulk Action,Select visits and confirm cancellation.,Cancel selected visits and notify inspectors.,N/A,Cancellation Reason,Cancelled Visits,Published/Returned → Cancelled,Only visits not yet started may be cancelled.,Planner,Notification Service,module=Visit Planning | capability=Bulk Cancel | purpose=Cancel multiple planned visits. | user_flow=Bulk Action | user_actions=Select visits and confirm cancellation. | system_actions=Cancel selected visits and notify inspectors. | ai_actions=N/A | inputs=Cancellation Reason | outputs=Cancelled Visits | business_rules=Published/Returned → Cancelled | personas=Only visits not yet started may be cancelled. | dependencies=Planner | source_acceptance_criteria=Notification Service,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0086,,,WA-EV-0086,BASELINED_NOT_IMPLEMENTED
CR-087,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!36,Visit Planning,Visit Plan Details,Display parent Visit Plan information.,Open Visit Plan,View summary and child visits.,"Display campaign information, progress and statistics.",Summarize campaign health.,Visit Plan ID,Visit Plan Details,None,Visit Plan is the parent record of all child visits.,Planner,Visit Plan Repository,"module=Visit Planning | capability=Visit Plan Details | purpose=Display parent Visit Plan information. | user_flow=Open Visit Plan | user_actions=View summary and child visits. | system_actions=Display campaign information, progress and statistics. | ai_actions=Summarize campaign health. | inputs=Visit Plan ID | outputs=Visit Plan Details | business_rules=None | personas=Visit Plan is the parent record of all child visits. | dependencies=Planner | source_acceptance_criteria=Visit Plan Repository",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0087,,,WA-EV-0087,BASELINED_NOT_IMPLEMENTED
CR-088,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!37,Visit Planning,Campaign Progress,Monitor the execution progress of a Visit Plan.,Visit Plan,Review progress.,"Calculate completed, published, returned, cancelled and expired child visits.",Predict campaign completion date.,Visit Plan,Progress Summary,None,Progress is calculated automatically.,Planner,Visit Plan Repository,"module=Visit Planning | capability=Campaign Progress | purpose=Monitor the execution progress of a Visit Plan. | user_flow=Visit Plan | user_actions=Review progress. | system_actions=Calculate completed, published, returned, cancelled and expired child visits. | ai_actions=Predict campaign completion date. | inputs=Visit Plan | outputs=Progress Summary | business_rules=None | personas=Progress is calculated automatically. | dependencies=Planner | source_acceptance_criteria=Visit Plan Repository",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0088,,,WA-EV-0088,BASELINED_NOT_IMPLEMENTED
CR-089,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!38,Visit Planning,Assignment Center,Monitor inspector workload before reassignment.,Assignment Center,Review inspector workload and capacity.,Display inspector utilization and assignments.,Recommend workload balancing across inspectors.,Inspector,Assignment Dashboard,None,Read-only operational capability supporting planning decisions.,Planner,Assignment Engine,module=Visit Planning | capability=Assignment Center | purpose=Monitor inspector workload before reassignment. | user_flow=Assignment Center | user_actions=Review inspector workload and capacity. | system_actions=Display inspector utilization and assignments. | ai_actions=Recommend workload balancing across inspectors. | inputs=Inspector | outputs=Assignment Dashboard | business_rules=None | personas=Read-only operational capability supporting planning decisions. | dependencies=Planner | source_acceptance_criteria=Assignment Engine,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0089,,,WA-EV-0089,BASELINED_NOT_IMPLEMENTED
CR-090,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!39,Visit Planning,Calendar View,View visits on a calendar.,Calendar,"Switch between Day, Week or Month views.",Display visits according to selected period.,Highlight overloaded days.,Calendar Period,Calendar Schedule,None,Calendar reflects the latest planning changes.,Planner,Calendar Engine,"module=Visit Planning | capability=Calendar View | purpose=View visits on a calendar. | user_flow=Calendar | user_actions=Switch between Day, Week or Month views. | system_actions=Display visits according to selected period. | ai_actions=Highlight overloaded days. | inputs=Calendar Period | outputs=Calendar Schedule | business_rules=None | personas=Calendar reflects the latest planning changes. | dependencies=Planner | source_acceptance_criteria=Calendar Engine",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0090,,,WA-EV-0090,BASELINED_NOT_IMPLEMENTED
CR-091,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!40,Visit Planning,Map View,Visualize factories and inspectors geographically.,Map,"Navigate map, select regions and open visit locations.",Display factory locations and inspector locations.,Recommend geographical optimization.,GIS Data,Interactive Map,None,Displays only planning-related visits.,Planner,GIS Platform,"module=Visit Planning | capability=Map View | purpose=Visualize factories and inspectors geographically. | user_flow=Map | user_actions=Navigate map, select regions and open visit locations. | system_actions=Display factory locations and inspector locations. | ai_actions=Recommend geographical optimization. | inputs=GIS Data | outputs=Interactive Map | business_rules=None | personas=Displays only planning-related visits. | dependencies=Planner | source_acceptance_criteria=GIS Platform",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0091,,,WA-EV-0091,BASELINED_NOT_IMPLEMENTED
CR-092,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!41,Visit Planning,Conflict Validation Center,Detect planning conflicts.,Validation,Review detected conflicts.,"Validate duplicate visits, overlapping schedules, inspector capacity, active visits and missing locations.",Recommend conflict resolution.,Planned Visits,Validation Results,None,Publishing or editing is blocked until blocking conflicts are resolved.,"Planner, System",Validation Engine,"module=Visit Planning | capability=Conflict Validation Center | purpose=Detect planning conflicts. | user_flow=Validation | user_actions=Review detected conflicts. | system_actions=Validate duplicate visits, overlapping schedules, inspector capacity, active visits and missing locations. | ai_actions=Recommend conflict resolution. | inputs=Planned Visits | outputs=Validation Results | business_rules=None | personas=Publishing or editing is blocked until blocking conflicts are resolved. | dependencies=Planner, System | source_acceptance_criteria=Validation Engine",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0092,,,WA-EV-0092,BASELINED_NOT_IMPLEMENTED
CR-093,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!42,Visit Planning,Notifications,Notify planners and inspectors of planning events.,System Events,Review notifications.,"Send notifications for publish, return, cancel, reassignment, rescheduling and expiry.",Prioritize important notifications.,Business Events,Notifications,None,Notifications are generated automatically based on planning events.,"Planner, Inspector, System",Notification Service,"module=Visit Planning | capability=Notifications | purpose=Notify planners and inspectors of planning events. | user_flow=System Events | user_actions=Review notifications. | system_actions=Send notifications for publish, return, cancel, reassignment, rescheduling and expiry. | ai_actions=Prioritize important notifications. | inputs=Business Events | outputs=Notifications | business_rules=None | personas=Notifications are generated automatically based on planning events. | dependencies=Planner, Inspector, System | source_acceptance_criteria=Notification Service",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0093,,,WA-EV-0093,BASELINED_NOT_IMPLEMENTED
CR-094,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!43,Visit Planning,Attachments,Manage planning-related supporting documents.,Visit Details,"Upload, download or remove attachments.",Store attachment metadata and files securely.,Classify attachment type (Future).,"Documents, Images",Visit Attachments,None,Attachments remain associated with the visit throughout its lifecycle.,Planner,Document Management Service,"module=Visit Planning | capability=Attachments | purpose=Manage planning-related supporting documents. | user_flow=Visit Details | user_actions=Upload, download or remove attachments. | system_actions=Store attachment metadata and files securely. | ai_actions=Classify attachment type (Future). | inputs=Documents, Images | outputs=Visit Attachments | business_rules=None | personas=Attachments remain associated with the visit throughout its lifecycle. | dependencies=Planner | source_acceptance_criteria=Document Management Service",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0094,,,WA-EV-0094,BASELINED_NOT_IMPLEMENTED
CR-095,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!44,Visit Planning,Internal Notes,Capture internal planning comments.,Visit Details,Add or edit notes.,Save notes and maintain audit history.,Summarize lengthy discussions.,Notes,Internal Notes,None,Notes are visible only to authorized internal users.,"Planner, Supervisor",Notes Service,"module=Visit Planning | capability=Internal Notes | purpose=Capture internal planning comments. | user_flow=Visit Details | user_actions=Add or edit notes. | system_actions=Save notes and maintain audit history. | ai_actions=Summarize lengthy discussions. | inputs=Notes | outputs=Internal Notes | business_rules=None | personas=Notes are visible only to authorized internal users. | dependencies=Planner, Supervisor | source_acceptance_criteria=Notes Service",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0095,,,WA-EV-0095,BASELINED_NOT_IMPLEMENTED
CR-096,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!45,Visit Planning,Activity Timeline,Display chronological business events.,Timeline,Review events.,Record every planning activity chronologically.,Highlight key milestones.,Visit ID,Timeline,None,Timeline is system generated and immutable.,Planner,Audit Service,module=Visit Planning | capability=Activity Timeline | purpose=Display chronological business events. | user_flow=Timeline | user_actions=Review events. | system_actions=Record every planning activity chronologically. | ai_actions=Highlight key milestones. | inputs=Visit ID | outputs=Timeline | business_rules=None | personas=Timeline is system generated and immutable. | dependencies=Planner | source_acceptance_criteria=Audit Service,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0096,,,WA-EV-0096,BASELINED_NOT_IMPLEMENTED
CR-097,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!46,Visit Planning,Audit History,Maintain complete traceability.,Audit,Review audit records.,Record every data modification with before/after values.,N/A,Business Events,Audit Log,None,Audit records cannot be modified or deleted.,"Planner, Auditor",Audit Service,"module=Visit Planning | capability=Audit History | purpose=Maintain complete traceability. | user_flow=Audit | user_actions=Review audit records. | system_actions=Record every data modification with before/after values. | ai_actions=N/A | inputs=Business Events | outputs=Audit Log | business_rules=None | personas=Audit records cannot be modified or deleted. | dependencies=Planner, Auditor | source_acceptance_criteria=Audit Service",PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0097,,,WA-EV-0097,BASELINED_NOT_IMPLEMENTED
CR-098,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Visit Planning- Mangment,Visit Planning- Mangment!47,Visit Planning,Automatic Visit Expiry,Automatically expire visits whose visit window has passed.,Scheduled Job,No user action.,Update visit status and notify planner.,Highlight operational impact.,Visit Window,Expired Visit,Published → Expired,Expired is a final status and becomes read-only.,System,Scheduler Service,module=Visit Planning | capability=Automatic Visit Expiry | purpose=Automatically expire visits whose visit window has passed. | user_flow=Scheduled Job | user_actions=No user action. | system_actions=Update visit status and notify planner. | ai_actions=Highlight operational impact. | inputs=Visit Window | outputs=Expired Visit | business_rules=Published → Expired | personas=Expired is a final status and becomes read-only. | dependencies=System | source_acceptance_criteria=Scheduler Service,PHASE1_WEB,,MOD-03,M2,/planning/**;/visits/**,SAQEEL Planning;SAQEEL Visits,WA-AC-0098,,,WA-EV-0098,BASELINED_NOT_IMPLEMENTED
CR-099,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection Execution - PreStart,Inspection Execution - PreStart!2,Inspection Execution,Inspector Dashboard,"Provide inspectors with a centralized landing page to monitor workload, priorities and assigned inspections.",Login → Dashboard,"View workload, KPIs, quick actions, notifications.",Load dashboard widgets and inspector summary.,"Daily briefing, workload summary, priority recommendations.",Inspector,Dashboard,Dashboard displays inspector-specific information only.,Inspector,"Assignment Engine, AI Engine",Inspector can access dashboard and view assigned workload.,"module=Inspection Execution | capability=Inspector Dashboard | purpose=Provide inspectors with a centralized landing page to monitor workload, priorities and assigned inspections. | user_flow=Login → Dashboard | user_actions=View workload, KPIs, quick actions, notifications. | system_actions=Load dashboard widgets and inspector summary. | ai_actions=Daily briefing, workload summary, priority recommendations. | inputs=Inspector | outputs=Dashboard | business_rules=Dashboard displays inspector-specific information only. | personas=Inspector | dependencies=Assignment Engine, AI Engine | source_acceptance_criteria=Inspector can access dashboard and view assigned workload.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-07,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0099,,NOTIFICATION,WA-EV-0099,BASELINED_NOT_IMPLEMENTED
CR-100,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection Execution - PreStart,Inspection Execution - PreStart!3,Inspection Execution,View Assigned Visits,Allow inspectors to access all assigned visits before execution.,Dashboard → Assignment Pool,"View visits, open visit, switch between views.",Load assigned visits and synchronize data.,Highlight priority visits.,Inspector,Assignment Pool,Only assigned visits are displayed.,Inspector,Visit Management,Inspector can access all assigned visits.,"module=Inspection Execution | capability=View Assigned Visits | purpose=Allow inspectors to access all assigned visits before execution. | user_flow=Dashboard → Assignment Pool | user_actions=View visits, open visit, switch between views. | system_actions=Load assigned visits and synchronize data. | ai_actions=Highlight priority visits. | inputs=Inspector | outputs=Assignment Pool | business_rules=Only assigned visits are displayed. | personas=Inspector | dependencies=Visit Management | source_acceptance_criteria=Inspector can access all assigned visits.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-07,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0100,,OFFLINE_CONFLICT,WA-EV-0100,BASELINED_NOT_IMPLEMENTED
CR-101,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection Execution - PreStart,Inspection Execution - PreStart!4,Inspection Execution,"Calendar, List & Map Views",Provide multiple visualization options for assigned visits.,Assignment Pool,"Switch between Calendar, List and Map.",Display selected view.,Recommend optimal daily route.,View Selection,Selected View,New visits appear only in Assignment Pool. Prepared visits appear in Calendar. Map displays all assigned visits.,Inspector,"Calendar Service, GIS",Inspector can switch between all views.,"module=Inspection Execution | capability=Calendar, List & Map Views | purpose=Provide multiple visualization options for assigned visits. | user_flow=Assignment Pool | user_actions=Switch between Calendar, List and Map. | system_actions=Display selected view. | ai_actions=Recommend optimal daily route. | inputs=View Selection | outputs=Selected View | business_rules=New visits appear only in Assignment Pool. Prepared visits appear in Calendar. Map displays all assigned visits. | personas=Inspector | dependencies=Calendar Service, GIS | source_acceptance_criteria=Inspector can switch between all views.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-07,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0101,,,WA-EV-0101,BASELINED_NOT_IMPLEMENTED
CR-102,SRC-CUST-001,c2ab27f60bf697780acf16d2b50f0f359b1bf78c1b89725bad3b1ab3005f04b9,Inspection Execution - PreStart,Inspection Execution - PreStart!5,Inspection Execution,"Search, Filter & Sort",Quickly locate assigned visits.,Assignment Pool,"Search, filter, sort.",Apply search and filtering.,Recommend saved filters (future).,Search Criteria,Filtered Results,Search applies across all assigned visits.,Inspector,Search Service,Accurate search and filtering results.,"module=Inspection Execution | capability=Search, Filter & Sort | purpose=Quickly locate assigned visits. | user_flow=Assignment Pool | user_actions=Search, filter, sort. | system_actions=Apply search and filtering. | ai_actions=Recommend saved filters (future). | inputs=Search Criteria | outputs=Filtered Results | business_rules=Search applies across all assigned visits. | personas=Inspector | dependencies=Search Service | source_acceptance_criteria=Accurate search and filtering results.",PHASE2_IPAD_DEFERRED,DEFERRED_TO_PHASE_2_IPAD,MOD-07,PHASE2,/field/**,PHASE2_IPAD_DEFERRED,WA-AC-0102,,,WA-EV-0102,BASELINED_NOT_IMPLEMENTED
