endpoint_id,route_or_endpoint,file_path,persona,read_write,tables_views_rpc,external_adapter,data_source_class,mock_fixture_dependency,rls_policy_involved,required_seed_scenario,expected_side_effect,receiving_downstream_workflow,test_evidence
EP-062,/(app)/visits/map,app/(app)/visits/map/page.tsx + VisitMap.tsx,Planner / Operations,read,"geo_events, visits",Leaflet + CARTO tiles,LIVE_DATABASE,none,RLS by role scope,visits with recorded geo_events across regions,none (read-only map),Operations live monitoring,cd-026-visit-management.spec.ts
EP-063,/(app)/visits/workload,app/(app)/visits/workload/page.tsx,Planner,read,"assignments, engine_settings",none,LIVE_DATABASE,none,RLS by planner scope,inspector daily-capacity-full scenario,none (read-only workload view),Planning single/bulk capacity checks,cd-026-visit-management.spec.ts
EP-064,/api/field/factory-360/snapshot,app/api/field/factory-360/snapshot/route.ts,Inspector (iPad offline sync),read,(delegates to lib/factory360/dossier.ts loadFactory360Dossier),none,LIVE_DATABASE,none,RLS via resolveFactory360Permissions inside supabaseServer() client (never elevated),Factory 360 dossier scenarios cached for offline snapshot,client writes IndexedDB snapshot (lib/factory360/offline-snapshot.ts),Field factory-360 offline island,factory360-ipad-field.spec.ts
EP-065,/api/routing/eta,app/api/routing/eta/route.ts,Inspector (en-route ETA),read,none (no table access),Mapbox Directions API,LIVE_EXTERNAL,"Fails closed to a governed BLOCKED_EXTERNAL 503 provider_unavailable state when MAPBOX_ACCESS_TOKEN is unset; real external call otherwise, never fabricates a route",n/a (unauthenticated calls rejected 401),MAPBOX_ACCESS_TOKEN configured/unconfigured scenarios,"none (pure external read, cached client-side via lib/offline.ts cacheRouteEstimate)",Field journey ETA display / offline route-estimate cache,mapbox-provider.spec.ts
EP-066,/api/shell/search,app/api/shell/search/route.ts,All authenticated personas,read,"commercial_registrations, factories, industrial_licenses, inspections, visits; rpc shell_global_search",none,LIVE_DATABASE,none,RLS enforced inside shell_global_search RPC per caller role,global-search-representative rows across all searchable entities,none (read-only search),App shell search overlay (all modules),compliance-shared-shell.spec.ts
EP-067,/locale,app/locale/route.ts,All personas,write,none (sets locale cookie only),none,LIVE_DATABASE,"No DB access; session/cookie infra only, classified LIVE_DATABASE-adjacent (not a data endpoint, not a mock)",n/a,every persona in both en/ar locale,sets NEXT_LOCALE cookie,i18n rendering across all routes,none found
EP-068,/signout,app/signout/route.ts,All personas,write,none (Supabase auth.signOut only),Supabase Auth,LIVE_DATABASE,"auth.users session invalidation only",n/a,every persona session,invalidates Supabase auth session + redirects to /login,Login/session lifecycle,negative-auth.spec.ts
EP-069,/login,app/login/page.tsx + LoginClient.tsx + DemoAccess.tsx + SaqeelHero.tsx + StoryMapInner.tsx + atlas3d/*,Unauthenticated visitor,read,"none for the auth call itself (page.tsx comment: 'public control or simulated authentication path' refers to the demo-access affordance, not a bypass of Supabase Auth)",Supabase Auth (real sign-in),LIVE_DATABASE,"The auth.signInWithPassword flow is LIVE_DATABASE; the on-page marketing hero KPI/factory strings ARE a separate FRONTEND_MOCK (decorative only, pre-auth, see lib/i18n-keys.generated.ts landing.mock.* / MOCK-001) — never a data endpoint response",none (pre-auth),15-20 persona login credentials on mim-inspection.test domain,creates Supabase auth session,Role-home redirect (lib/role-home.ts) to persona's module,cd-002-reset.spec.ts (auth flow family)
EP-070,/reset,app/reset/page.tsx + ResetClient.tsx,Unauthenticated visitor,write,none (Supabase Auth password reset),Supabase Auth,LIVE_DATABASE,none,none (pre-auth),reset flow for at least one persona,triggers Supabase Auth password-reset email,Login,cd-002-reset.spec.ts
EP-071,/launch,app/launch/page.tsx + no-workspace/page.tsx + error.tsx + loading.tsx,Newly authenticated user,read,(delegates to lib/role-home.ts + lib/persona.ts),none,LIVE_DATABASE,none,RLS via profiles/user_roles lookup,persona with zero roles assigned (no-workspace path),none (redirect only),Role-scoped module landing,cd-003-launch.spec.ts
EP-072,/push,app/push/PushOptIn.tsx + actions.ts,All personas (PWA install required for iOS),write,push_subscriptions,Web Push VAPID (lib/providers/push-webpush.ts),LIVE_EXTERNAL,"Fails closed to a governed BLOCKED_EXTERNAL not_configured state without VAPID keys; never fakes 'delivered'",RLS scoped to own user_id,persona with push subscription registered vs not registered,inserts push_subscriptions; notify.ts dispatches real push on events,Notification delivery pipeline,mvp2-push-webpush.spec.ts
EP-073,/reports/inspection/[id],app/reports/inspection/[id]/page.tsx,Reviewer / Committee / Factory representative,read,"inspection_items, inspections",none,LIVE_DATABASE,none,RLS by report-access scope,approved inspection with generated report,none (read-only report render/print),Committee decision dossier / external report delivery,none found
EP-074,"lib/notify.ts DeliveryAdapter registry (cross-cutting, invoked from workflow/notifications.ts + admin/notifications + profile + committee + virtual + operations)",lib/notify.ts + lib/providers/email-resend.ts + sms-twilio.ts + push-webpush.ts + notification-stubs.ts,All personas (recipient side),write,notifications,"Resend (email) / Twilio (SMS) / Web Push (VAPID) per-channel adapters, plus notification-stubs.ts deterministic staging sink when no provider configured",LIVE_EXTERNAL,"Per-channel LIVE_EXTERNAL when credentials configured; falls back to honest not_configured (BLOCKED_EXTERNAL) otherwise, never fabricated as sent. notification-stubs.ts sink is a separate, explicit, governed, non-production simulator (assertNonProduction-gated, PERSISTED_CONTRACT_STUB), not an ungoverned UI mock",RLS on notifications table by recipient,"every workflow transition that emits a notification (visit published, review returned, override decided, etc.)",inserts notifications row + external delivery receipt,All persona-facing notification centers,mvp2-shared-0193.spec.ts
EP-075,lib/integrations/senaei/* (Senaei legacy platform adapter: auth/factory360/inspection-submission/production-line/profile/regulations/task-detail/tasks),lib/integrations/senaei/client.ts + adapters/*,Inspector (legacy Senaei parity surfaces),read/write,none directly (adapter layer only; some domains explicitly UNDOCUMENTED_FACTORY_360_DOMAINS unavailable),Senaei (SENAEI_AUTH_MODE/SENAEI_BASE_URL/SENAEI_ALLOWED_HOST_SUFFIX env-gated; fails closed to configurationMissing without explicit config),BLOCKED_EXTERNAL,"No credentials configured in this environment by default; becomes LIVE_EXTERNAL only with real SENAEI_* env vars. Governed adapter with typed DomainResult, not a UI mock, but currently unreachable","n/a (server-only client, no direct RLS)",SENAEI_AUTH_MODE/SENAEI_BASE_URL configured vs unconfigured scenarios,createBlockedSubmissionOutbox() when submission adapter unavailable,Field inspection submission fallback outbox,senaei-integration-contract.spec.ts
EP-076,lib/integrations/industry-shared/* (Industry Shared / MODON / HRSD adapter: license_info/plants/delegations/hrsd_labors etc.),lib/integrations/industry-shared/client.ts + endpoints.ts + adapters/factory360.ts,Admin / Factory 360 consumers,read,none directly,Industry Shared beta-backoffice.industry.sa (all 11 endpoint leads marked state:'DISCOVERY_REQUIRED' — no observed auth/request/response contract yet),BLOCKED_EXTERNAL,"unavailableIndustrySharedEndpoint() throws unless contract state changes from DISCOVERY_REQUIRED; explicitly never returns a fabricated payload",n/a,contract-discovery-complete vs contract-discovery-pending scenarios,none (contract gate only),Factory 360 cross-provider canonical projection,industry-shared-integration-contract.spec.ts
EP-077,lib/offline.ts processOutbox (iPad offline replay engine),lib/offline.ts,Inspector (offline iPad),read/write,checklist_responses (conflict check) + all outbox op targets (evidence/inspections/geo_events/geo_override_requests/inspection_item_states/violations via their respective RPCs/tables on replay),none,LIVE_DATABASE,none,"RLS as the authenticated inspector session (supabaseBrowser client, never service-role)",offline draft + pending outbox + conflict scenarios per blueprint scenario catalogue,"replays response/geo_checkin/evidence/submit/factory_check/geo_override_request/item_state/violation_invalidate ops idempotently; conflicts recorded explicitly, never silently overwritten",Field inspection workspace sync status / Review submission,offline-drill.spec.ts
EP-078,lib/providers/factory-risk.ts SyntheticFactoryMasterProvider,lib/providers/factory-risk.ts,Risk owner (test/staging augmentation only),read,"none (in-memory synthetic generator matching factories/factory_representatives/factory_documents column shape)",none,PERSISTED_CONTRACT_STUB,"Explicitly documented as synthetic fixture matching real table shape, gated by FEATURE_ flag + assertNonProduction; never touches live factories table",n/a (no DB access),data-volume/performance-testing profile beyond the 20-factory KSA seed,none (pure generator function),Factory 360 / Dashboard risk-band KPI test augmentation,cycle2-wave2-providers.spec.ts
EP-079,lib/providers/location.ts LocationSample/GeofenceCheck simulator,lib/providers/location.ts,Inspector (dev/test/staging GPS simulation only),read,none,none,PERSISTED_CONTRACT_STUB,FEATURE_LOCATION_SOURCE=device|simulator|off; assertNonProduction-gated; real production path is browser Geolocation API + geo_events/geo_override_requests tables (untouched),n/a,accurate/weak_accuracy/stale_timestamp/permission_denied/no_signal scenarios,none (pure generator),Field journey geofence check-in simulation for test evidence,ipad-gps-policy.spec.ts
EP-080,lib/providers/map.ts geocode/directions stub,lib/providers/map.ts,Inspector/Planner (map provider test augmentation),read,none,"Mapbox (interface contract only; not wired to a real client — no MAPBOX credential configured for this generic geocode/directions surface, distinct from /api/routing/eta which IS wired)",PERSISTED_CONTRACT_STUB,"FEATURE_MAP_PROVIDER=mapbox|stub|off; falls back to stub without MAPBOX_ACCESS_TOKEN. Explicitly documented: must never be reported as real-provider-certified",n/a,map-provider-configured vs unconfigured scenarios,none (pure generator),Planning/Field map displays needing geocode/directions beyond live Leaflet rendering,mapbox-provider.spec.ts
EP-081,lib/providers/media.ts MediaFixture capture/scan,lib/providers/media.ts,Inspector (dev/test/staging evidence capture augmentation only),read,"none (in-memory deterministic fixture + scan outcome)",none,PERSISTED_CONTRACT_STUB,"assertNonProduction-gated deterministic fixture generator + malware-scan stub (5%% timeout / 5%% fail / rest pass, seeded from sha256); real capture path is Workspace.tsx enqueueEvidence to real Supabase Storage (untouched)",n/a,invalid_type/oversize/interrupted_capture/scan-fail/scan-timeout scenarios,none (pure generator),Field inspection evidence upload retry testing,cycle2-wave2-providers.spec.ts
EP-082,lib/providers/video.ts Video Inspection session simulator,lib/providers/video.ts,Inspector / Factory representative (Virtual Inspection),read,"virtual_sessions/virtual_participants (via /(app)/virtual/[id]/actions.ts, not this file directly)",none (no real video vendor selected; DEC-pending),PERSISTED_CONTRACT_STUB,"UI MUST render 'SIMULATED VIDEO SESSION' badge; assertNonProduction-gated; deterministic fixtureId",n/a,virtual-provider blocked/degraded scenario,none (pure generator),Virtual room Room.tsx UI badge,cd-041-virtual-boundary-states.spec.ts (cd-043)
EP-083,lib/committee/signature.ts resolveVerification,lib/committee/signature.ts,Committee member,read,signature_acts (via committee/actions.ts),DocuSign (lib/providers/signature-docusign.ts),LIVE_EXTERNAL,"Falls closed to a governed BLOCKED_EXTERNAL 'unavailable' state without DOCUSIGN_* configured",RLS via committee actions.ts,pending/verified/unavailable signature scenarios,none (pure resolver; mutation happens in committee/actions.ts),Committee decision dossier,mvp2-signature-docusign.spec.ts
EP-084,lib/risk/model.ts computeRiskScore/bandFor,lib/risk/model.ts,"Risk owner (pure calculation library, invoked by risk RPCs/dashboard)",read,"none (pure functions consuming engine_settings/risk_models data passed in by caller)",none,LIVE_DATABASE,"Consumes live engine_settings/risk_models rows passed in by the caller; the module itself has no fixture",n/a,risk model weight/band configurations across draft/published versions,none (pure calculation),Factory risk snapshot / Dashboard risk-band KPI,mvp2-m2-04-risk-model.spec.ts
EP-085,lib/dashboard-kpi/loader.ts resolveDashboardPolicyVersion + registry/projection/inspector-projection/checklist-compliance,lib/dashboard-kpi/*.ts,All personas (role-scoped KPI projection engine),read,dashboard_config_heads (+ source facts from visits/inspections/reviews/violations/checklist_responses read by dashboard/page.tsx),none,LIVE_DATABASE,none,RLS by role-scoped projection (inspector-projection.ts is inspector-only view),published dashboard_config_versions + 12 months of source-fact history,none (pure KPI calculation from source facts per blueprint 'do not hardcode dashboard values'),Dashboard page rendering,dashboard-kpi-contract.spec.ts
EP-086,lib/planning/lifecycle.ts recordLifecycleEvent + getReasonOptions,lib/planning/lifecycle.ts,Planner,read/write,"planning_lookups, visit_lifecycle_events",none,LIVE_DATABASE,none,RLS by planner scope,cancellation/reschedule/return reason scenarios,inserts visit_lifecycle_events + audit_events,Visits detail lifecycle ribbon,cd-026-visit-management.spec.ts
EP-087,lib/planning/visit-list.ts queryPlanningVisits + fetchLastUpdates,lib/planning/visit-list.ts,Planner,read,"assignments, factories, profiles, visit_plans, visits",none,LIVE_DATABASE,none,RLS by planner scope,full PLANNING_TABS (all/draft/published/returned/cancelled/expired) coverage with pagination,none (read-only paginated query engine),Planning page / Visits board,cd-020-planning-home.spec.ts
EP-088,lib/planning/factory-resolver.ts,lib/planning/factory-resolver.ts,Planner,read,factories,none,LIVE_DATABASE,none,RLS by planner scope,factory identity resolution for plan wizard duplicate-check,none (read-only resolver),Planning single Wizard/IdentityDossier,cd-022-identity-lens.spec.ts
EP-089,lib/factory360/dossier.ts loadFactory360Dossier + resolveFactory360Permissions,lib/factory360/dossier.ts,All personas (permission-filtered),read,"commercial_registrations, factory_documents, factory_government_records, factory_media_assets, industrial_licenses, inspection_factory_snapshots, inspections, penalty_notices, plant_addresses, plant_production_line_items, factory_risk_snapshots",none,LIVE_DATABASE,none,RLS-scoped supabaseServer() client; permission gates (view_factory_documents/view_risk_details) evaluated per persona,every Factory 360 required-screen-coverage scenario per blueprint section F,none (read-only projection),Factory 360 web + iPad snapshot + CR dossier + admin control plane,factory360-cross-provider-contract.spec.ts
EP-090,lib/factory360/cross-provider-contract.ts + canonical-projection.ts,lib/factory360/cross-provider-contract.ts + canonical-projection.ts,All personas,read,"(pure projection over dossier.ts output plus Industry Shared adapter results when available)","Industry Shared (via industry-shared adapters, currently BLOCKED_EXTERNAL)",LIVE_DATABASE,"canonical-projection.ts itself is LIVE_DATABASE (pure projection over already-loaded dossier data); the cross-provider comparison rows it merges in remain BLOCKED_EXTERNAL pending Industry Shared contract discovery (see EP-076)",n/a,contract-available vs contract-pending cross-provider comparison scenarios,none (pure projection),Factory 360 cross-provider dossier section,factory360-cross-provider-contract.spec.ts
EP-091,"lib/workflow/* (events.ts, governed-transition.ts, guards.ts, lifecycles.ts, normalize.ts, notifications.ts, outbox.ts, sla.ts, tasks.ts, transition.ts, validate.ts) — canonical governed transition engine invoked by visits/reviews/risk-models/dashboard-config/regulations/packages/violations actions",lib/workflow/*.ts,All personas (invoked server-side on behalf of the acting persona),read/write,"config_versions, audit_events, sla_timers, workflow_task_assignments, notifications (plus the domain table of whichever entity is transitioning)",none,LIVE_DATABASE,"transition.ts explicitly documents that the simulation preview calls the SAME evaluator with fixture context and never mutates — a governed, disclosed simulation path, not a hidden mock",RLS enforced per calling action's capability check before invoking the transition,every workflow status transition across every governed entity type in the scenario catalogue,inserts audit_events + config_versions/task/sla rows on every transition,"Every downstream queue keyed off entity status (Review queue, Operations queue, Enforcement, Dashboard)",mvp2-m2-02-governed-transition.spec.ts
