key,en,ar,status,approved_source,screens,role,kind,priority,shared
reviews.workspace.najdDairyFactoryIns88041,Najd Dairy Factory INS-88041,,new,,SCR-WEB-310,cell-text,sample-data,P3,
reviews.workspace.requirementSfr202142,Requirement: SFR-2021 §4.2 Fire safety systems,,new,,SCR-WEB-310,requirement,sample-data,P3,
reviews.workspace.theWetRiserWasLast,The wet riser was last certified in 2024 and no service record was produced during the visit.,,new,,SCR-WEB-310,description,sample-data,P3,
virtual.appointment.31Jul20260900,"31 Jul 2026, 09:00–11:00",,new,,SCR-VIR-700,value,sample-data,P3,
virtual.appointment.factoryRepresentative,Factory representative,,new,,SCR-VIR-700 SCR-VIR-710 SCR-VIR-720,cell-text,sample-data,P3,yes
virtual.appointment.mAlHarbi,M. Al-Harbi,,new,,SCR-VIR-700 SCR-VIR-710 SCR-VIR-720,cell-text,sample-data,P3,yes
virtual.appointment.sNasser,S. Nasser,,new,,SCR-VIR-700,cell-text,sample-data,P3,
virtual.session.1Photo,1 photo,,new,,SCR-VIR-720,cell-text,sample-data,P3,
virtual.session.2Photos,2 photos,,new,,SCR-VIR-720,cell-text,sample-data,P3,
virtual.session.virtualSessionVs40066Qassim,Virtual session · VS-40066 · Qassim Plastics,,new,,SCR-VIR-720,sq-content,sample-data,P3,
visits.detail.qassimPlastics,Qassim Plastics,,new,,SCR-WEB-210,value,sample-data,P3,
visits.detail.vs40066QassimPlastics,VS-40066 · Qassim Plastics,,new,,SCR-WEB-210 SCR-VIR-700,sq-content,sample-data,P3,yes
visits.list.20Jul1426,20 Jul 14:26,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.21Jul1044,21 Jul 10:44,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.23Jul1110,23 Jul 11:10,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.27Jul073010,27 Jul 07:30–10:30,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.28Jul080011,28 Jul 08:00–11:00,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.28Jul090011,28 Jul 09:00–11:00,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.29Jul080010,29 Jul 08:00–10:00,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.29Jul090012,29 Jul 09:00–12:00,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.30Jul100012,30 Jul 10:00–12:00,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.31Jul090011,31 Jul 09:00–11:00,,new,,SCR-WEB-200 SCR-WEB-210,cell-text,sample-data,P3,yes
visits.list.buraidahFeedMillsF1990,Buraidah Feed Mills F-1990,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.dammamCableCoF2101,Dammam Cable Co. F-2101,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.fAlZahrani,F. Al-Zahrani,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.jubailFertilizersF2355,Jubail Fertilizers F-2355,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.madinahPlasticsF1712,Madinah Plastics F-1712,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.nAlHarbi,N. Al-Harbi,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.qassimPlasticsF1244,Qassim Plastics F-1244,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.taifMarbleF1620,Taif Marble F-1620,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.taifRoseProcessingF1301,Taif Rose Processing F-1301,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.vs40066,VS-40066,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.vs40079,VS-40079,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.vs40108,VS-40108,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.vs40112,VS-40112,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.vs40159,VS-40159,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.vs40166,VS-40166,,new,,SCR-WEB-200,cell-text,sample-data,P3,
visits.list.vs40170,VS-40170,,new,,SCR-WEB-200,cell-text,sample-data,P3,
factory360.alRasheedSteelWorksCo,Al Rasheed Steel Works Co.,,suggest,Al Rasheed Steel Works,SCR-WEB-400,sq-content,sample-data,P3,
reviews.compare.0115Jul,01 – 15 Jul,,suggest,1–5 Jul,SCR-WEB-320,del,sample-data,P3,
