finding_id,current_term,complete_current_phrase,file,line,route_or_surface,persona,visible_to_user,usage_type,localization_key,current_english,current_arabic,proposed_english,proposed_arabic,classification,legal_or_regulatory_risk,rationale,implementation_status,validation_evidence
F0-053,dossier,product-contract audit/evidence prose describing the dossier feature,product-contract/evidence/*.md; product-contract/factory-360/*.csv; product-contract/mvp2/*; product-contract/mvp3/*,(n/a - 212 files contain a searched term across product-contract/),product-contract specs and evidence,N/A (internal contract/audit record),no,spec prose / audit verdicts / contract-column headers describing the built dossier feature,(n/a),(n/a - internal),(n/a),(n/a - historical documents kept as-is; contract authors should sanity-check that acceptance rows like DSG-026 still read correctly once the UI no longer uses the word),(n/a),H,none,"212 files across product-contract/ contain at least one searched term (evidence/ 87, factory-360/ 19, governance/ 13, execution/ 12, mvp2/ 7, mvp3/ 6, remainder scattered); sampled ~10+ files confirmed pattern is spec prose / audit verdicts / internal contract IDs, not literal proposed UI copy — kept as historical record, not remediated",pending,
F0-054,Commercial Registration / Violation / Compliance / Corrective Action,Legal/regulatory terms used contextually across Compliance and Enforcement surfaces,apps/web/src/app/admin/violations/page.tsx; apps/web/src/app/admin/compliance-requests/page.tsx; apps/web/src/app/admin/regulations/*.tsx,(multiple),/admin/violations; /admin/compliance-requests; /admin/regulations,Admin / Reviewer,yes,translation fallbacks using legal/regulatory vocabulary,(multiple keys — not individually enumerated),(varies),(varies),(no swap proposed — legal/regulatory terms are outside the plain-language glossary and require legal/business sign-off before any wording change),(n/a),C,yes — legal/regulatory terminology,"Legal-term class flagged for business/legal sign-off before any rewording is attempted, per the ban's own carve-out for Commercial Registration / Violation / Penalty / Compliance / Corrective Action / Approved-Rejected-Returned / Legal Identity vocabulary; representative surfaces only, not exhaustively enumerated in Wave 0",pending,
F0-052,dossier,"CR not in your scope or does not exist (shared f360.notFound.desc, 3 surfaces)",apps/web/src/app/field/factory-360/[id]/page.tsx; apps/web/src/app/factories/cr/[id]/page.tsx; apps/web/src/app/factories/[id]/page.tsx,50; 38; 94,/field/factory-360/:id + /factories/cr/:id + /factories/:id,All authenticated web users + Inspector (iPad field),yes,translation fallback (EmptyState title),f360.notFound.desc,CR not in your scope or does not exist / Not in your scope or does not exist,(none found),Factory registration not found or not available to you.,تسجيل المصنع غير موجود أو غير متاح لك.,A,none,Task-spec-mandated example mapping missed in Wave 0 discovery pass; caught during Wave 1 implementation review,implemented,typecheck pass; edited 3 files
F0-010,dossier,Open read-only dossier link,apps/web/src/app/admin/integrations/factory-data/page.tsx,39,/admin/integrations/factory-data,Admin,yes,hardcoded JSX text (not localized),(none - hardcoded string),Open read-only dossier,(none),Open read-only profile,(none),A,none,Missed finding_id in Wave 0 CSV; caught during Wave 1 review alongside F0-009 in the same file,implemented,typecheck pass; edited page.tsx:39
F0-053,dossier,Contract traceability h5 heading (uncatalogued in Wave 0),design/retired-predecessor/d3/D3-07_factory-360.html,143,Design mockup (golden screen #6 - Factory 360),Design/engineering reviewers,yes,HTML <h5> visible text,(none - static design HTML),"Contract traceability — this frame (golden #6, dossier half)",(none),"Contract traceability — this frame (golden #6, profile half)",(none),A,none,Adjacent to F0-046 in the same file; missed in Wave 0 CSV enumeration,implemented,typecheck pass; edited D3-07 line 143
W2-P-001,Bulk planning,Bulk planning — criteria & targeting,apps/web/src/app/planning/page.tsx,44,Planning,,,,,,,Plan multiple visits — criteria & targeting,,page-title/card-title,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-002,Single visit,Single visit,apps/web/src/app/planning/page.tsx,45,Planning,,,,,,,Plan one visit,,card-title,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-003,Immediate visit / Urgent dispatch,Immediate visit / Urgent dispatch; unregistered factory allowed with mandatory location,apps/web/src/app/planning/page.tsx,46,Planning,,,,,,,Create an urgent visit — Unregistered factory allowed with mandatory location,,card-title/description,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-004,factory master,AND/OR criteria over the factory master; many visits under one plan,apps/web/src/app/planning/page.tsx,44,Planning,,,,,,,AND/OR criteria over the Factory list; many visits under one plan,,card-description,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-005,No published inspection package,No published inspection package.,apps/web/src/app/planning/page.tsx,53,Planning,,,,,,,No active inspection checklist.,,banner,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-006,plan register,Open the plan register to inspect them.,apps/web/src/app/planning/page.tsx,68,Planning,,,,,,,Open Visit plans to inspect them. / Open Visit plans,,banner body / link text,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-007,Plan register,"Plan register — status, child visits and progress of every plan",apps/web/src/app/planning/page.tsx,72,Planning,,,,,,,"Visit plans — status, child visits and progress of every plan",,link text,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-008,Plan register,"Plan register (page title, load error, empty page)",apps/web/src/app/planning/plans/page.tsx,"33,42",Planning,,,,,,,Visit plans,,page title,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-009,Plan register,← Plan register (back link),apps/web/src/app/planning/plans/[id]/page.tsx,89,Planning,,,,,,,← Visit plans,,back link,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-010,Operational,Operational (table column header),apps/web/src/app/planning/plans/[id]/page.tsx,131,Planning,,,,,,,Visit status,,table column header,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-011,Bulk planning,"Bulk planning — criteria & targeting (page title, 3 return-state occurrences + context)",apps/web/src/app/planning/bulk/page.tsx,"39,47,80,248",Planning,,,,,,,Plan multiple visits — criteria & targeting,,page-title,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-012,Bulk targeting,Bulk targeting (SCR-WEB-110) is available to the Planner role only.,apps/web/src/app/planning/bulk/page.tsx,49,Planning,,,,,,,Plan multiple visits (SCR-WEB-110) is available to the Planner role only.,,unauthorized body text,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-013,Factory registry,Factory registry unavailable / The factory registry could not be read,apps/web/src/app/planning/bulk/page.tsx,81-82,Planning,,,,,,,Factory list unavailable / The Factory list could not be read,,empty-state title+body,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-014,registry sync,Oldest registry sync,apps/web/src/app/planning/bulk/page.tsx,159,Planning,,,,,,,Oldest Factory list sync,,ledger label,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-015,No published package,No published package (ERR-PUB-001),apps/web/src/app/planning/bulk/actions.ts,"222,236",Planning,,,,,,,No active inspection checklist (ERR-PUB-001),,publish blocker text,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-016,Package,packageLabel: 'Package',apps/web/src/app/planning/bulk/review/page.tsx,72,Planning,,,,,,,Inspection checklist,,field label (ordinary planner review workspace),none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-017,package status,"the server re-checks role, package status, duplicates, Inspector eligibility...",apps/web/src/app/planning/bulk/review/page.tsx,148,Planning,,,,,,,"the server re-checks role, inspection checklist status, duplicates...",,helper text,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-018,Package is currently published or locked,Package is currently published or locked,apps/web/src/app/planning/bulk/review/page.tsx,199,Planning,,,,,,,Inspection checklist is currently active or locked,,evidence ledger line,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-019,No published or locked package,No published or locked package is available / Selected package is no longer published,apps/web/src/app/planning/bulk/review/page.tsx,215-216,Planning,,,,,,,No active or locked inspection checklist is available / Selected inspection checklist is no longer active,,blocker title,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-020,Package source is unavailable,Package source is unavailable / Distinct from 'no package',apps/web/src/app/planning/bulk/review/page.tsx,221,Planning,,,,,,,Inspection checklist source is unavailable / Distinct from 'no inspection checklist',,blocker title/detail,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-021,a package,"Set the visit type, a valid window (end after start) and a package.",apps/web/src/app/planning/bulk/review/page.tsx,218,Planning,,,,,,,"Set the visit type, a valid window (end after start) and an inspection checklist.",,blocker detail,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-022,"Validating factories, package","Validating factories, package, Inspectors and duplicates…",apps/web/src/app/planning/bulk/review/page.tsx,53,Planning,,,,,,,"Validating factories, inspection checklist, Inspectors and duplicates…",,loading note,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-023,Single visit planning,"Single visit planning (page title, 3 occurrences)",apps/web/src/app/planning/single/page.tsx,"53,63,80,209",Planning,,,,,,,Plan one visit,,page-title,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-024,Single Visit Planning,Single Visit Planning (SCR-WEB-120) is available to the Planner role only.,apps/web/src/app/planning/single/page.tsx,65,Planning,,,,,,,Plan one visit (SCR-WEB-120) is available to the Planner role only.,تخطيط زيارة واحدة (SCR-WEB-120) متاح لدور المخطط فقط.,unauthorized body (EN+AR),none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-025,factory registry,The factory registry is temporarily unavailable — try your search again.,apps/web/src/app/planning/single/page.tsx,138,Planning,,,,,,,The Factory list is temporarily unavailable — try your search again.,,search error,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-026,Registry sync,freshnessLabel: 'Registry sync',apps/web/src/app/planning/single/page.tsx,165,Planning,,,,,,,Factory list sync,,field label,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-027,Package,Package (published only),apps/web/src/app/planning/single/page.tsx,173,Planning,,,,,,,Inspection checklist (active only),,field label,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-028,No published package selected,No published package selected (ERR-PUB-001),apps/web/src/app/planning/single/actions.ts,"97,107",Planning,,,,,,,No active inspection checklist selected (ERR-PUB-001),,publish blocker,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-029,Immediate visit — urgent dispatch,"Immediate visit — urgent dispatch (page title, 3 occurrences)",apps/web/src/app/planning/immediate/page.tsx,"37,172",Planning,,,,,,,Create an urgent visit,,page-title,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-030,Immediate Visit Planning,Immediate Visit Planning (SCR-WEB-130) is available to Planner and Inspector roles only.,apps/web/src/app/planning/immediate/page.tsx,39,Planning,,,,,,,Create an urgent visit (SCR-WEB-130) is available to Planner and Inspector roles only.,إنشاء زيارة عاجلة (SCR-WEB-130) متاح لدوري المخطط والمفتش فقط.,unauthorized body (EN+AR),none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-031,Registry sync,previewFreshness: 'Registry sync',apps/web/src/app/planning/immediate/page.tsx,69,Planning,,,,,,,Factory list sync,,field label,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-032,registry reconciliation,This creates a flagged temporary entity pending registry reconciliation…,apps/web/src/app/planning/immediate/page.tsx,82,Planning,,,,,,,This creates a flagged temporary entity pending Factory list reconciliation…,,helper note,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-033,official registry pin,Source: official registry pin / official registry pin (chip),apps/web/src/app/planning/immediate/page.tsx,"93,150",Planning,,,,,,,Source: official Factory list pin / official Factory list pin,نقطة قائمة المصانع الرسمية,field value/chip detail (EN+AR),none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-034,Package *,packageLabel: 'Package *',apps/web/src/app/planning/immediate/page.tsx,97,Planning,,,,,,,Inspection checklist *,,field label,none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-035,PACKAGE / الحزمة,chipPackageLabel: 'PACKAGE' / 'الحزمة',apps/web/src/app/planning/immediate/page.tsx,136,Planning,,,,,,,CHECKLIST,قائمة التفتيش,chip label (EN+AR),none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-036,select a published package,chipPackageBlocked: 'select a published package' / 'اختر حزمة منشورة',apps/web/src/app/planning/immediate/page.tsx,152,Planning,,,,,,,select an active inspection checklist,اختر قائمة تفتيش نشطة,chip blocked detail (EN+AR),none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-037,official registry pin / registry pin,location_source_invalid: 'Confirm whether the visit uses the official registry pin or a manually verified pin.' (EN+AR),apps/web/src/app/planning/immediate/actions.ts,"36,60",Planning,,,,,,,Confirm whether the visit uses the official Factory list pin or a manually verified pin (M01-046).,أكّد ما إذا كانت الزيارة تستخدم موقع قائمة المصانع الرسمي أو موقعًا تم التحقق منه يدويًا (M01-046).,server blocker copy (EN+AR),none,,implemented,Wave 2 (Planning); typecheck pass
W2-P-038,package is no longer published or locked,package_unavailable: 'The selected package is no longer published or locked. Refresh and select an available package.' (EN+AR),apps/web/src/app/planning/immediate/actions.ts,"41,65",Planning,,,,,,,The selected inspection checklist is no longer active or locked. Refresh and select an available checklist.,قائمة التفتيش المحددة لم تعد نشطة أو مقفلة. حدّث الصفحة واختر قائمة تفتيش متاحة.,server blocker copy (EN+AR),none,,implemented,Wave 2 (Planning); typecheck pass
W2-VISITS-001,Operational,"colOperational: t(""visit.list.colOperational"", ""Operational"")",apps/web/src/app/visits/page.tsx,118,Visits & Assignments,planner/ops/admin viewing the visits table,yes,table column header on the visits list,visit.list.colOperational,,,Visit status,حالة الزيارة,column-header,none,Matches the assigned focus item 'operational [column header] -> Visit status' exactly.,implemented,tsc --noEmit passed with 0 errors after edit
W2-VISITS-002,Operational,"{ id: ""operational"", domainLabel: t(""visit.ribbon.operational"", ""Operational"")",apps/web/src/app/visits/[id]/page.tsx,160,Visits & Assignments,any user viewing visit detail,yes,"Dual-State Ribbon tab label + <dt> heading text (rendered via DualStateRibbon.tsx domainLabel prop, visible in both the tablist button and tabpanel state row)",visit.ribbon.operational,,,Visit status,حالة الزيارة,tab/domain-label,none,"Same 'operational [column header/label] -> Visit status' focus item, applied to the ribbon's domain label (functionally a column/section header for the same operational_state field). Only the fallback string of the translation call was changed; the internal RibbonTrack id 'operational' (union type, GLYPH map key, DualStateRibbon.tsx props) was left untouched as an internal symbol.",implemented,tsc --noEmit passed with 0 errors after edit
F1,immutable,Submitted — immutable v1.,apps/web/src/app/field/inspection/[id]/page.tsx,276,/field/inspection/[id],inspector,true,banner text,field.ws.submittedTitle,,,Submitted — final submitted version.,تم الإرسال — النسخة النهائية المُقدَّمة.,immutable-wording,none,Glossary: immutable submitted version [ordinary user] -> Final submitted version,implemented,Wave 2 (Field Execution); typecheck pass
F2,immutable,Only these sections are editable; resubmission creates the next immutable version (STM-COR-001/002).,apps/web/src/app/field/inspection/[id]/page.tsx,275,/field/inspection/[id],inspector,true,banner text,field.ws.returnedNote,,,Only these sections are editable; resubmission creates the next final submitted version (STM-COR-001/002).,هذه الأقسام فقط قابلة للتعديل؛ إعادة الإرسال تُنشئ النسخة النهائية المُقدَّمة التالية (STM-COR-001/002).,immutable-wording,none,,implemented,Wave 2 (Field Execution); typecheck pass
F3,immutable,Review & submit — immutable v1,apps/web/src/app/field/inspection/[id]/page.tsx,280,/field/inspection/[id],inspector,true,button label,field.ws.submitBtn,,,Review & submit — final version,المراجعة والإرسال — النسخة النهائية,immutable-wording,none,,implemented,Wave 2 (Field Execution); typecheck pass
F4,immutable,Submitting immutable v{v} (idempotency-protected)…,apps/web/src/app/field/inspection/[id]/page.tsx,286,/field/inspection/[id],inspector,true,status text,field.ws.submitting,,,Submitting final version v{v} (idempotency-protected)…,جارٍ إرسال النسخة النهائية v{v} (محمية من التكرار)…,immutable-wording,none,,implemented,Wave 2 (Field Execution); typecheck pass
F5,Package version,Package version (locked),apps/web/src/app/field/inspection/[id]/page.tsx,355,/field/inspection/[id],inspector,true,panel field label,field.ws.panel.pkg,,,Checklist version used for the inspection (locked),نسخة قائمة التحقق المستخدمة في التفتيش (مقفلة),package-terminology,none,Glossary: frozen package definition -> Checklist version used for the inspection,implemented,Wave 2 (Field Execution); typecheck pass
F6,package,"Evidence removed from the package — soft-deleted with reason, audit event recorded (M04-164)",apps/web/src/app/field/inspection/[id]/page.tsx,363,/field/inspection/[id],inspector,true,status/toast text,field.ws.ev.deleted,,,"Evidence removed from the checklist — soft-deleted with reason, audit event recorded (M04-164)",تمت إزالة الدليل من قائمة التحقق — حذف مؤقت مع سبب، وتم تسجيل حدث تدقيق (M04-164),package-terminology,none,,implemented,Wave 2 (Field Execution); typecheck pass
F7,immutable,"Sign in the box below. The signature image, name and timestamp are stored inside the immutable submission version (DEC-009).",apps/web/src/app/field/inspection/[id]/page.tsx,386,/field/inspection/[id],inspector,true,helper text,field.ws.sig.hint,,,"Sign in the box below. The signature image, name and timestamp are stored inside the final submitted version (DEC-009).",وقّع داخل المربع أدناه. تُحفظ صورة التوقيع والاسم والطابع الزمني ضمن النسخة النهائية المُقدَّمة (DEC-009).,immutable-wording,none,,implemented,Wave 2 (Field Execution); typecheck pass
F8,geofence,N/A — not present in scope,apps/web/src/app/field/inspection/**,,/field/inspection/[id],inspector,false,n/a,,,,N/A,,geofence-terminology,none,,skipped-reason:no geofence-related strings found in this scope; nothing to change,Wave 2 (Field Execution); typecheck pass
F9,proven B3 / DB-locked phrasing,Content locked by the database (proven B3); corrections only via reviewer return.,apps/web/src/app/field/inspection/[id]/page.tsx,277,/field/inspection/[id],inspector,true,banner text,field.ws.submittedBody,Content locked by the database (proven B3); corrections only via reviewer return.,,Content locked by the database (proven B3); corrections only via reviewer return.,,dev-jargon-review,none,,"skipped-reason:'(proven B3)' is a traceability marker outside the explicitly listed dev-jargon patterns in scope (SCR-*, M01-08-*, ENG-*, FND-*, REF-*, RBAC-*, route strings, RLS-scoped, read model, etc.); left as an established audit-traceability convention used throughout the codebase rather than unilaterally stripped — flagging for explicit glossary/scope decision in a later wave if desired.",Wave 2 (Field Execution); typecheck pass
F2-IMM-001,immutable,Version published. It is now immutable.,apps/web/src/app/admin/packages/page.tsx,180,/admin/packages,admin,yes,toast,admin.pkg.publish.published,,,Version published. It is now locked and cannot be edited.,تم نشر النسخة. أصبحت الآن مقفلة ولا يمكن تعديلها.,"toast message, admin package-designer publish action",none,"Contextual rewrite of admin publish confirmation: 'locked and cannot be edited' states the behavior in plain terms without borrowing the ordinary-user 'final submitted version' phrasing, which belongs to inspection submission, a different concept from package/checklist authoring.",implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-002,immutable,Published versions are immutable and can be referenced by package action forms and penalty mappings.,apps/web/src/app/admin/packages/page.tsx,219,/admin/packages,admin,yes,body text,admin.template.intro,,,"Published versions are locked and cannot be edited, but can be referenced by package action forms and penalty mappings.",أنشئ نسخًا مرقّمة وثنائية اللغة من قوالب النماذج أو التقارير أو نماذج الإجراءات أو الغرامات. النسخ المنشورة مقفلة ولا يمكن تعديلها، لكن يمكن الإشارة إليها من نماذج إجراءات الحزم وربط الغرامات.,"intro copy, template registry section (admin)",none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-003,Immutable,Immutable historical template version.,apps/web/src/app/admin/packages/page.tsx,220,/admin/packages,admin,yes,badge,admin.template.historical,,,Final historical template version.,نسخة قالب سابقة نهائية.,"badge/status copy, historical template version",none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-004,frozen version,Existing work stays on the frozen version it downloaded; publishing never silently re-versions it.,apps/web/src/app/admin/packages/page.tsx,251,/admin/packages,admin,yes,hint text,admin.pkg.impact.pinnedHint,,,Existing work stays on the checklist version it downloaded; publishing never silently re-versions it.,يظل العمل القائم على نسخة قائمة التفتيش التي جرى تنزيلها؛ النشر لا يُغيّر نسختها دون علم أحد.,"hint text, publish-impact panel",none,Direct application of glossary 'frozen package definition -> Checklist version used for the inspection'.,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-005,immutable,Drafts are editable. Publishing runs dependency validation and maker-checker approval; published and locked definitions remain immutable.,apps/web/src/app/admin/packages/page.tsx,295,/admin/packages,admin,yes,subtitle,admin.pkg.overview.body,,,Drafts are editable. Publishing runs dependency validation and maker-checker approval; published and locked definitions remain final and cannot be edited.,المسودات قابلة للتعديل. النشر يشغّل التحقق من الاعتماديات ويتطلب اعتماد المُراجِع؛ التعريفات المنشورة والمقفلة تبقى نهائية ولا يمكن تعديلها.,"section subtitle, package overview",none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-006,immutable,Published version — immutable.,apps/web/src/app/admin/packages/page.tsx,386,/admin/packages,admin,yes,banner,admin.pkg.immutable.title,,,Published version — locked and cannot be edited.,نسخة منشورة — مقفلة ولا يمكن تعديلها.,"banner heading, published package version lock notice",none,"Matches the Wave 0 example pattern 'full sentences like Published version — immutable.' but rewritten to 'locked and cannot be edited' rather than 'final submitted version' because this banner is about a package/checklist definition being locked from further edits, not about an inspection submission -- using 'final submitted version' here would be factually wrong (no inspection was submitted).",implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-007,approval invalid — no immutable version,approval invalid — no immutable version,apps/web/src/app/reports/inspection/[id]/page.tsx,90,/reports/inspection/[id],reviewer/inspector-facing report,yes,status label,report.integrityBlocked.status,,,approval invalid — no final submitted version,الاعتماد غير صالح — لا توجد نسخة نهائية مُقدَّمة,"status text, data-integrity guard",none,Direct application of glossary 'immutable submitted version -> Final submitted version'.,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-008,immutable submitted version / immutable submission,This inspection is recorded as approved but has no immutable submitted version on file. The approval is not valid and must not be relied on as an official decision until an immutable submission exists (DEF-WF-006).,apps/web/src/app/reports/inspection/[id]/page.tsx,124,/reports/inspection/[id],reviewer,yes,banner,report.integrityBlocked.body,,,This inspection is recorded as approved but has no final submitted version on file. The approval is not valid and must not be relied on as an official decision until a final submitted version exists (DEF-WF-006).,هذا التفتيش مسجَّل كمعتمَد لكن لا توجد نسخة نهائية مُقدَّمة له في السجل. هذا الاعتماد غير صالح ويجب عدم الاعتماد عليه كقرار رسمي إلى أن توجد نسخة نهائية مُقدَّمة (DEF-WF-006).,"critical banner body, data-integrity defect",none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-009,immutable submission,No immutable submission yet.,apps/web/src/app/reports/inspection/[id]/page.tsx,128,/reports/inspection/[id],reviewer/inspector,yes,banner,report.notSubmitted.title,,,No final submitted version yet.,لا توجد نسخة نهائية مُقدَّمة حتى الآن.,warning banner title,none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-010,immutable v{n},Checklist responses — immutable v{n},apps/web/src/app/reports/inspection/[id]/page.tsx,162,/reports/inspection/[id],reviewer/inspector,yes,heading,report.items.heading,,,Checklist responses — final v{n},إجابات قائمة التفتيش — النسخة النهائية {n},"section heading, per-item response table",none,Space-constrained heading pattern; used short form 'final' per instruction guidance for space-constrained badges/headings.,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-011,immutable,"v{n} · … · immutable (table cell, submission version row)",apps/web/src/app/reports/inspection/[id]/page.tsx,272,/reports/inspection/[id],reviewer/inspector,yes,table cell,report.hist.immutable,,,final,نهائية,table cell label next to version number,none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-012,immutable,"IDs are immutable, never reused (FLD-VIS-001).",apps/web/src/app/visits/[id]/page.tsx,49,/visits/[id],any user hitting a bad/expired visit link,yes,empty state,visit.detail.notFoundDesc,,,IDs never change or get reused (FLD-VIS-001).,المعرّفات لا تتغيّر ولا يُعاد استخدامها أبدًا (FLD-VIS-001).,"empty-state body copy, visit-not-found",none,"Plain-language simplification of 'immutable' describing ID stability, not a submission concept, but still user-visible technical-sounding phrasing simplified per remediation goal.",implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-013,immutable,"v{n} · {date} · immutable (ribbon eventLabel, inspection track)",apps/web/src/app/visits/[id]/page.tsx,174,/visits/[id],admin/inspector/reviewer,yes,ribbon/badge,visit.detail.immutable,,,final,نهائية,lifecycle ribbon badge text,none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-014,submissions immutable,inspection engine — submissions immutable,apps/web/src/app/visits/[id]/page.tsx,175,/visits/[id],admin/inspector/reviewer,yes,ribbon label,visit.ribbon.src.insp,,,inspection engine — submissions are final,محرّك التفتيش — النسخ المُقدَّمة نهائية,ribbon 'source of truth' descriptor,none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-015,immutable,v{n} · {date} · immutable (submission version list under Inspection & versions),apps/web/src/app/visits/[id]/page.tsx,217,/visits/[id],admin/inspector/reviewer,yes,list item label,visit.detail.immutable,,,final,نهائية,inline label next to each submission version,none,Shares the same t() key/fallback as F2-IMM-013 (same call site pattern reused); both occurrences updated together via replace_all.,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-016,immutable,Journey & location events — immutable (EV-005),apps/web/src/app/visits/[id]/page.tsx,263,/visits/[id],admin/inspector/reviewer,yes,heading,visit.detail.journeyHeading,,,Journey & location events — cannot be edited (EV-005),أحداث الرحلة والموقع — لا يمكن تعديلها (EV-005),"section heading, journey/location audit trail",none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
F2-IMM-017,"immutable, append-only","Planning history — immutable, append-only (ENG-12, latest 30)",apps/web/src/app/visits/[id]/page.tsx,275,/visits/[id],admin/inspector/reviewer,yes,heading,visit.detail.auditHeading,,,"Planning history — cannot be edited, only added to (ENG-12, latest 30)",سجل التخطيط — لا يمكن تعديله، تُضاف إليه أحداث جديدة فقط (ENG-12، آخر 30 حدثًا),"section heading, audit-trail history",none,,implemented,Wave 2 (Submission & Immutable Cluster); typecheck pass
W2-REV-001,Level 2 review queue,Level 2 review queue,apps/web/src/app/reviews/page.tsx,267,Review & Approval,Level 2 Reviewer / Operations / Auditor / Planner / Leadership,true,,review.list.title,,,Inspection review queue,قائمة انتظار مراجعة التفتيش,page-title,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-002,Evidence readiness & SLA-risk fingerprint,Evidence readiness & SLA-risk fingerprint,apps/web/src/app/reviews/page.tsx,239,Review & Approval,,,,review.list.fpTitle,,,Review readiness,جاهزية المراجعة,section-heading,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-003,Evidence readiness & SLA-risk,Evidence readiness & SLA-risk,apps/web/src/app/reviews/page.tsx,234,Review & Approval,,,,review.list.colFingerprint,,,Review readiness,جاهزية المراجعة,table-column-header,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-004,Workspace,Workspace (column header) / Open workspace (link text),apps/web/src/app/reviews/page.tsx,236-238,Review & Approval,,,,"review.list.colOpen, review.list.open",,,Review (column header) / Open review (link text),المراجعة,action-link,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-005,Scan-first queue,Scan-first queue,apps/web/src/app/reviews/page.tsx,278,Review & Approval,,,,review.list.scanTitle,,,Review overview,نظرة عامة على المراجعة,banner-title,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-006,Queue clear,Queue clear,apps/web/src/app/reviews/page.tsx,284,Review & Approval,,,,review.list.empty,,,No inspections awaiting review,لا توجد عمليات تفتيش بانتظار المراجعة,empty-state-title,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-007,immutable submitted version,no immutable submitted version exists for this inspection,apps/web/src/app/reviews/[id]/actions.ts,139,Review & Approval,,,,,,,no final submitted version exists for this inspection,,error-toast,none,,implemented,Wave 2 (Review & Approval); typecheck pass
W2-REV-008,SLA,SLA (fingerprint chip label) / SLA unavailable — required config/timestamp missing,apps/web/src/app/reviews/page.tsx,"242,245",Review & Approval,,,,"review.list.fp.sla, review.list.fp.slaUnavailable",,,Deadline / Deadline unavailable — required config/timestamp missing,الموعد النهائي,data-chip-label,none,"Reviewer-facing per-row operational fact, not an admin config surface -- SLA rule for ordinary users applies.",implemented,Wave 2 (Review & Approval); typecheck pass
